ClassID,ActiveState,Level,ClassName,Name,Icon,Job,SkillCategory,Desc,BuyGroup,ActiveGroup,AlwaysActive,Script,Desc2
0,0,0,HPPOSIONBOOST,HP포션 부스터,abil_2_9,,,HP 포션 쿨다운이 감소합니다.{nl}(레벨당 10%씩 감소),,,YES,SCR_ABIL_NONE,
0,0,0,SPPOSIONBOOST,SP포션 부스터,abil_2_10,,,SP 포션 쿨다운이 감소합니다.{nl}(레벨당 10%씩 감소),,,YES,SCR_ABIL_NONE,
0,0,0,SwordMastery,소드 마스터리,abil_1_11,,All,소드 계열 아이템을 능숙하게 다룹니다.{nl}(소드 계열 아이템 착용시 레벨당 데미지 5% 증가),,,NO,SCR_ABIL_SWORDMASTERY,
0,0,0,StaffMastery,스태프 마스터리,abil_2_8,,All,스태프 계열 아이템을 능숙하게 다룹니다.{nl}(스태프 계열 아이템 착용시 레벨당 데미지 5% 증가),,,NO,SCR_ABIL_STAFFMASTERY,
0,0,0,BowMastery,보우 마스터리,abil_3_7,,All,보우 계열 아이템을 능숙하게 다룹니다.{nl}(보우 계열 아이템 착용시 레벨당 데미지 5% 증가),,,NO,SCR_ABIL_BOWMASTERY,
0,0,0,MaceMastery,메이스 마스터리,abil_4_7,,All,메이스 계열 아이템을 능숙하게 다룹니다.{nl}(메이스 계열 아이템 착용시 레벨당 데미지 5% 증가),,,NO,SCR_ABIL_MACEMASTERY,
0,0,0,Crisis,생존본능,abil_1_9,,Swordman_Thrust,체력이 40% 이하일때 공격력이 증가합니다.{nl}1레벨만 구현되있습니다. 한번만 배우세요!,,,NO,SCR_ABIL_CRISIS,
0,0,0,IceSpear,아이스 스피어,abil_2_4,,Wizard_EnergyBolt,결빙상태의 적을 아이스볼트로 공격시 데미지가 추가됩니다.{nl}(레벨당 25%씩 추가),,,NO,SCR_ABIL_NONE,
0,0,0,ruptureattack,파열의 일격,abil_1_4,,Swordman_Bash,타격 속성으로 공격시 일정 확률로 주변 적에게 폭발 데미지를 입힙니다.{nl}(레벨당 5%의 확률로 발동),,RuptureGroup,NO,SCR_ABIL_NONE,
0,0,0,TendonRupture,파열,abil_4_4,,Swordman_Bash,둔기 아이템 사용시 사슬 방어구 타입 적에게 데미지가 증가합니다.{nl}(레벨당 20%씩 증가),,RuptureGroup,NO,SCR_ABIL_NONE,
0,0,0,Overcome,극복,abil_2_3,,Swordman_Bash,검 아이템 사용시 치명타 확률이 증가합니다.{nl}(레벨당 치명타율 10%씩 증가),,,NO,SCR_ABIL_NONE,
0,0,0,Jump,점프,abil_3_2,,All,점프를 할 수 있습니다. [X] 키를 누르면 점프를 합니다.,,,NO,SCR_ABIL_JUMP,
0,0,0,Quickstep,횡신,abil_3_2,,Swordman_Bash,횡신 이동을 할 수 있습니다. [Shift] 키를 누른 상태에서 방향키를 누르면 해당 방향으로 횡신 이동을 합니다. 기력을 소모합니다.,BashMoveAtk,,NO,SCR_ABIL_STEP,
0,0,0,Dash,대쉬,abil_3_2,,Swordman_Bash,달리기를 할 수 있습니다. 방향키를 두 번 누르면 달리기를 시작합니다.,BashMoveAtk,,NO,SCR_ABIL_DASH,
0,0,0,Meditaion,메디테이션,abil_4_9,,All,SP 회복량이 증가합니다.{nl}(레벨 x 최대 기력의 1%씩 증가),,,NO,SCR_ABIL_NONE,
0,0,0,Regenaration,재생,abil_4_8,,All,HP 회복량이 증가합니다.{nl}(레벨 x 최대 체력의 1%씩 증가),,,NO,SCR_ABIL_NONE,
0,0,0,Spark,번뜩임,abil_3_2,,All,방어 등급이 증가합니다.{nl}(레벨 x 10씩 증가),,,NO,SCR_ABIL_NONE,
0,0,0,Stun,기절,abil_3_2,,All,일정 확률로 강타에 피해를 받은 적이 5초 동안 기절합니다.,,,NO,SCR_ABIL_NONE,
0,0,0,Traverse,트래버스,ability_Warrior_squire1,,All,짧은 거리를 빠른 속도로 이동합니다. 사용 할 때마다 스태미나를 소비합니다. 방향키를 두 번 눌러 사용합니다. -- 스콰이어 특성,,,NO,SCR_ABIL_TRAVERSE,Lv.1 STA 소모량 4
0,0,0,ShieldHitter,실드 히터,abil_3_2,,All,패링 스킬 사용중에 자신을 공격한 적에게 타격을 반사합니다.(반사대미지는 방어력과 특성 레벨에 비례하여 오름),,,NO,SCR_ABIL_GUARDTRAINING,
0,0,0,Wrath,진노,abil_4_6,,All,메이스 아이템으로 적을 공격하면 일정확률로 스턴 효과가 발생합니다{nl}(레벨당 10%씩 증가),,,NO,SCR_ABIL_NONE,"Lv.1 스턴확률 10%, 3초 지속Lv.2 스턴확률 20%, 4초 지속Lv.3 스턴확률 30%, 5초 지속"
