ClassID,Duplicate,OverBuff,Lv,GroupIndex,ApplyTime,UpdateTime,BlendIn,BlendOut,EnterParticleScale,LeaveParticleScale,ParticleScale,ParticleRemoveBlendTime,Shadow,BodySize,ElapsedTime,EscHitCount,HitCount,ChangeDefLayer,Range,Value,DMG,hitType,SplRange,SplHeight,SplAngle,SplLimit,AddBuffFreq,AddBuffTime,ClassName,Name,ShowIcon,Icon,SlotType,UpdateProp,Animation,Desc,ToolTip,Group1,Group2,Group3,AddCheckScp,Attribute,UserRemove,Save,LinkBuff,DeadRemove,RemoveLock,Exclusive,HoldMove,HoldRotate,HoldSkill,HoldItem,HoldCancel,IgnoreTargetting,IgnoreNormalHit,IgnorePhysicalSkill,IgnoreMagicalSkill,Invisible,DefenceSCP,TakeDamageSCP,GiveDamageSCP,MoveSCP,UseSkillSCP,Loop,Freeze,Position,FixedScale,EnterParticle,LeaveParticle,Particle,EmitterLoop,Emoticon,BodyColor,Vibrate,ClientScp,HideMon,HidePC,Detected,Pause,Blind,Sound,WeaponTrail,Polymorph,TargetParticle,DMGType,Tooltip_Attr,TooltipType,SplType,OnEnemy,OnFriend,OnNeutral,AddBuffName,DeadParts,DeadSlice,ApplyType,ShowTextEffect,Keyword
41984,0,0,0,41984,16384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UC_stun,스턴,,state_stun,slot_type02,,STUN,Provoke,행동 불가.,Debuff,,,,,YES,NO,NO,YES,NO,NO,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,,,,,,NO,NO,Middle,NO,,,,NO,,,,,NO,,,,,,,,,,,Buff,,NO,NO,NO,,,,Body,NO,Stun;CureRemove
43008,0,0,0,43008,16384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UC_bound,결박,,move_no,slot_type02,,,Provoke,"이동 불가. 피격 시 해제되지만, 대미지를 10% 더 받음.",Debuff,,,,,YES,NO,NO,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,,SCR_BUFF_TAKEDMG_UC_BOUND,,,,NO,NO,Middle,NO,,,,NO,,,,,NO,,,,,,,,,,,Buff,,NO,NO,NO,,,,Body,NO,Bound
44032,0,0,0,44032,16384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UC_sleep,수면,,state_sleep,slot_type02,,STUN,Provoke,잠듦. 행동 불가. 공격을 맞을까지 풀리지 않음.,Debuff,,,,,YES,NO,NO,YES,NO,NO,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,,SCR_BUFF_TAKEDMG_UC_SLEEP,,,,NO,NO,Middle,NO,,,,NO,,,,,NO,,,,,,,,,,,Buff,,NO,NO,NO,,,,Body,NO,Sleep;CureRemove
45056,0,0,0,45056,16384,32768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UC_freeze,결빙,,state_freeze,slot_type02,,,Provoke,"얼음 속성의 공격으로 인해 [결빙] 상태가 됨. 지속적인 피해를 입고, 행동 불가. ",Debuff,,,,,YES,NO,NO,YES,NO,NO,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,,,,,,NO,NO,Middle,NO,,,,NO,,,,,NO,,,YES,,,,,,,,Buff,,NO,NO,NO,,ice,,Body,NO,Freeze
46080,0,0,0,46080,16384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UC_immobilize,스톱,,state_stop,slot_type02,,,Provoke,"정적인 시공간에 갇힘. 행동이 불가능 하지만, 모든 공격 무효화 됨.",Debuff,,,,,YES,NO,NO,YES,NO,NO,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,,,,,,NO,NO,Middle,NO,,,,NO,,,,,NO,,,YES,,,,,,,,Buff,,NO,NO,NO,,,,Body,NO,Immobilize
47104,0,0,0,47104,16384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UC_petrify,석화,,state_ston,slot_type02,,,Provoke,행동 불가. [석화] 상태인 동안에는 대미지를 50% 덜 받음. 피격시 [석화] 상태가 해제될 가능성이 있음.,Debuff,,,,,YES,NO,NO,YES,NO,NO,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,,SCR_BUFF_TAKEDMG_UC_PETRIFY,,,,NO,NO,Middle,NO,,,,NO,,CCCCCCCC,,,NO,,,YES,,,,,,,,Buff,,NO,NO,NO,,,,Body,NO,Petrify;Solid
48128,0,0,0,48128,16384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UC_silence,침묵,,attack_no,slot_type02,,,Provoke,기본 공격 및 스킬 사용 불가.,Debuff,,,,,YES,NO,NO,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,,,,,,NO,NO,Middle,NO,,,,NO,,,,,NO,,,,,,,,,,,Buff,,NO,NO,NO,,,,Body,NO,Silence;CureRemove
49152,0,0,0,49152,16384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UC_confuse,혼란,,state_crazy,slot_type02,,,Provoke,아군과 적군을 구분하지 못함.,Debuff,,,,,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,NO,NO,Middle,NO,,,,NO,,FFFFAAAA,,,NO,,,,,,,,,,,Buff,,NO,NO,NO,,,,Body,NO,Confuse;CureRemove
50176,0,0,0,50176,16384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UC_bleed,출혈,,state_wounds,slot_type02,,,Provoke,지속적인 피해를 입음. 움직이면 움직일수록 더욱 많은 피해를 입게 됨.,Debuff,,,,,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,SCR_BUFF_MOVE_UC_BLEED,,NO,NO,Middle,NO,,,,NO,,,,,NO,,,,,,,,,,,Buff,,NO,NO,NO,,,,Body,NO,Wound;CureRemove
51200,0,0,0,51200,16384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UC_hemorrhage,대량출혈,,state_wounds,slot_type02,,,Provoke,출혈보다 더 심한 지속적인 피해를 입음. 움직이면 움직일수록 더욱 많은 피해를 입게 됨.,Debuff,,,,,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,SCR_BUFF_MOVE_UC_HEMORRHAGE,,NO,NO,Middle,NO,,,,NO,,,,,NO,,,,,,,,,,,Buff,,NO,NO,NO,,,,Body,NO,Wound;CureRemove
