ClassID,ClassName,DBSave,BasicHelp,Category,Title,SimpleExplain,DetailExplain_1,PictureAboutExplain_1,SubExplainAboutPicture_1,DetailExplain_2,PictureAboutExplain_2,SubExplainAboutPicture_2,DetailExplain_3,PictureAboutExplain_3,SubExplainAboutPicture_3,DetailExplain_4,PictureAboutExplain_4,SubExplainAboutPicture_4,DetailExplain_5,PictureAboutExplain_5,SubExplainAboutPicture_5,DetailExplain_6,PictureAboutExplain_6,SubExplainAboutPicture_6
8192,NORPAT_1,NO,NO,테스트,제목,짧은 설명,설명1,ti_monster,,380,ti_equip,,,,,,,,,,,,,
0,,NO,NO,,,간략한 설명,자세한 설명,,사진에 대한 부가 설명,,,,,,,,,,,,,,,
0,TUTO_MOVE_KB,YES,YES,기본조작법,이동,방향키를 이용하여 자유롭게 이동할 수 있습니다.,'방향키'를 이용하여 캐릭터를 이동시킬 수 있습니다.{nl}{img arrowkey_up 40 40}{img arrowkey_down 40 40}{img arrowkey_left 40 40}{img arrowkey_right 40 40},MOVE_1_KB,{nl} ,'방향키'를 조합하여 대각선 이동을 할 수 있습니다.{nl}{img arrowkey_up 40 40}{img arrowkey_down 40 40}{img arrowkey_left 40 40}{img arrowkey_right 40 40},MOVE_2_KB,{nl} {nl}캐릭터를 이동시키면 스태미나가 소모됩니다.,,,,,,,,,,,,
0,TUTO_MOVE_JUMP,YES,YES,기본조작법,점프,점프를 사용하면 낮은 장애물을 뛰어넘거나 높은 곳에 올라갈 수 있습니다.,{img X 40 40}키 이용하여 점프를 사용할 수 있습니다.,JUMP_01_KB,,,,,,,,,,,,,,,,
0,TUTO_ATTACK_KB,YES,YES,기본조작법,공격,범위 내의 적을 공격하여 피해를 줄 수 있습니다.,{img Z 40 40}키를 이용하여 캐릭터별 기본공격을 할 수 있습니다.,ATTACK_01_KB,{img Z 40 40}키를 연타하거나 계속 누르고 있으면 연속공격을 할 수 있습니다.,,,,,,,,,,,,,,,
0,TUTO_MAP,YES,NO,기본조작법,지도,지도를 사용하여 현재 자신의 위치와 중요지역을 확인할 수 있습니다.,{img M 40 40}키를 사용하여 현재 위치한 지역의 지도를 확인할 수 있습니다.{nl} {nl},TUTO_MAP_01,{nl} {nl}미니맵 아이콘은 현재 지역에 위치한 중요지점이나 {nl}NPC를 나타냅니다.{nl}{img minimap_leader 25 25} : 현재 플레이어의 위치를 나타내는 아이콘 입니다.{nl}{img minimap_1_MAIN 25 25} : 현재 진행중인 퀘스트의 목표지점을 나타냅니다.{nl}{img minimap_0 25 25} : 현재 지역의 중요NPC의 위치를 나타냅니다.{nl}{img minimap_goddess 25 25} : 현재 지역의 워프장치를 나타냅니다.{nl}{img minimap_board 25 25} : 현재 지역의 중요정보를 담고있는 게시판을 나타냅니다.{nl}{img minimap_portal 25 25} : 다른지역으로 이동할 수 있는 통로를 나타냅니다.{nl} {nl},한 번도 가보지 못한 지역은 지도에 해당 지형이 보이지 않습니다.,TUTO_MAP_02,탐사를 완료한 지역은 지도에 해당 지형이 표시됩니다.,{img N 40 40} 키를 이용하여 월드맵을 확인할 수 있습니다.{nl}가보지 않은 지역은 월드맵에 표기 되지 않으며 한 번이라도 방문한 지역은 월드맵에 활성화 됩니다.,TUTO_MAP_03,활성화된 지역은 마우스를 가져다 대면 해당 지역의 지도를 확인할 수 있습니다.,,,,,,,,,
0,TUTO_INVEN,YES,NO,기본정보,인벤토리,"인벤토리를 통해 장착중이거나 소지중인 아이템과 보유중인 재화, 무게를 확인할 수 있습니다",{img F2 40 40}키를 사용하여 인벤토리창을 이용할 수 있습니다.,TUTO_INVEN_01,{nl} {nl}인벤토리창의 상단은 현재 캐릭터가 각 부위별로 장착 중인 장비입니다{nl} {nl}," {nl}",TUTO_INVEN_02,{nl} {nl}하단은 현재 인벤토리에 들어와 있는 아이템들입니다.{nl}인벤토리의 아이템들은 종류별로 표시됩니다.{nl} {nl},{nl},TUTO_INVEN_03,{nl} {nl} 최하단은 현재 인벤토리의 아이템들의 무게 총합을 나타내며 메달과 소지하고 있는 실버를 나타냅니다.{nl} {nl},,,,,,,,,
0,TUTO_QUEST,YES,NO,기본정보,퀘스트,퀘스트창을 통해 현재 수행 가능한 퀘스트 정보를 확인할 수 있습니다.,{img F5 40 40}키를 사용하여 현재 수행중인 퀘스트 목록을 확인할 수 있습니다.{nl} {nl},TUTO_QUEST_01,{nl} {nl}퀘스트 진행 상태 표시{nl} {img minimap_1_MAIN 24 24} : 메인퀘스트 시작 가능{nl} {img minimap_2_MAIN 24 24} : 메인퀘스트 진행 중{nl} {img minimap_3_MAIN 24 24} : 메인퀘스트 완료 대기{nl} {img minimap_1_SUB 24 24} : 서브퀘스트 시작 가능{nl} {img minimap_2_SUB 24 24} : 서브퀘스트 진행 중{nl} {img minimap_3_SUB 24 24} : 서브퀘스트 완료 대기{nl} {nl},알아보고자 하는 퀘스트 목록을 선택하면 상세 정보를 확인할 수 있습니다.,TUTO_QUEST_02,포기 버튼이 황성화된 퀘스트는 '포기'할 수 있습니다.{nl} {nl},포기한 퀘스트는 상단의 '포기'탭에서 확인할 수 있습니다.{nl} {nl},TUTO_QUEST_03,{nl} {nl} '재시작'버튼을 눌러서 포기한 퀘스트를 즉시 시작할 수 있습니다.{nl} {nl},,,,,,,,,
0,TUTO_SKILL,YES,NO,기본정보,스킬,스킬창을 통해 캐릭터 스킬을 관리할 수 있습니다.,{img F3 40 40}키를 사용하여 스킬창을 이용할 수 있습니다.,TUTO_SKILL_01,{img skillup 40 40}버튼을 클릭하여 스킬레벨을 올릴 수 있습니다.,스킬 레벨을 올리고 적용을 누르면 스킬 레벨이 상승합니다.,TUTO_SKILL_02,레벨을 올린 스킬은 슬롯에 추가됩니다.,,,,,,,,,,,,
0,TUTO_TECH,YES,NO,기본정보,특성,마스터 NPC에게 특성을 학습하면 캐릭터를 더욱 강하게 성장시킬 수 있습니다.,각 클래스별 마스터NPC를 통해 특성을 학습할 수 있습니다.,TUTO_TECH_01,,{nl} {nl}특성을 학습하기 위해선 실버가 필요합니다. 또한 각 특성별로 학습을 완료하는데 필요한 시간이 있습니다{nl} {nl},TUTO_TECH_02,특성은 학습이 완료되어야 사용할 수 있습니다,{nl} {nl}학습을 시작한 특성은 자동으로 등록되며 학습시간 동안 다른 특성을 학습할 수 없습니다.{nl} {nl},TUTO_TECH_03,,{nl} {nl}학습을 완료한 특성은 스킬창 하단의 특성 목록에서 확인할 수 있습니다.{nl} {nl},TUTO_TECH_04,{nl} {nl}특성은 상황에 맞춰 키거나 끌 수 있습니다.{nl} {nl},,,,,,
0,TUTO_JOURNEY,YES,NO,기본정보,모험일지,모험일지를 통해 게임플레이 진행도를 확인하거나 캐릭터 랭킹을 확인할 수 있습니다.,{img F4 40 40}키를 사용해서 모험일지 창을 이용할 수 있습니다.,TUTO_JOURNEY_02,{nl} {nl}모험일지의 각 목록별로 갱신된 캐릭터의 점수와 랭킹을 확인할 수 있습니다.{nl} {nl},모험일지의 달성 보상은 도시에 위치한 '바이보라의 날개' NPC에게서 받을 수 있습니다.,TUTO_JOURNEY_03,{nl} {nl}모험일지의 각 목록별로 갱신된 캐릭터의 점수와 랭킹을 확인할 수 있습니다.{nl} {nl},,,,,,,,,,,,
0,TUTO_PARTY,YES,NO,기본정보,파티,다른 플레이어와 파티를 맺고 함께 게임을 진행할 수 있습니다.,파티를 맺고자하는 캐릭터에게 다가가 마우스 우클릭 후 '파티초대'를 선택하여 파티에 파티를 생성할 수 있습니다.,TUTO_PARTY_01,파티 생성은 파티에 속하지 않았을 때만 생성 가능합니다.{nl}상대방이 파티 초대를 수락하면 초대와 함께 자동으로 파티가 생성됩니다.,파티에 초대된 캐릭터의 정보는 좌측 상단의 파티원 초상화를 우클릭 후 '파티정보'를 통해 확인할 수 있습니다.,TUTO_PARTY_02,혹은 단축키 {img F6 25 25}키를 사용하여 빠르게 확인할 수 있습니다.,파티정보의 '설정'탭에서 파티 좀 더 효과적으로 관리할 수 있습니다.,TUTO_PARTY_03,"파티 가입조건과 아이템 분배 규칙, 경험치 분배 규칙, 퀘스트 공유를 설정할 수 있습니다.",파티원들의 초상화를 클릭하여 파티원들을 관리할 수 있습니다.,TUTO_PARTY_03,파티를 떠나고 싶다면 '탈퇴'를 선택하여 파티에서 나갈 수 있습니다.,,,,,,
0,TUTO_C_MONSTER,YES,NO,전투,몬스터 정보,몬스터에게 다가가거나 바라보면 몬스터 정보창을 확인할 수 있습니다.,"몬스터 정보 창에서 해당 몬스터의 레벨과 이름, 체력 상황을 확인할 수 있습니다.",TUTO_C_MONSTER_01,,특정 클레스는 몬스터의 정보를 추가로 확인할 수 있습니다.,TUTO_C_MONSTER_02,,,,,,,,,,,,,
0,TUTO_RECOVERY,YES,NO,전투,회복,소모된 체력/마나/스태미나는 아래 기능을 통해 회복할 수 있습니다.,[자연회복] : '체력'스탯을 기준으로 '체력회복속도'에 비례하여 회복,TUTO_RECOVERY_01,자연회복은 다른 회복 방법에 비해 매우 느리게 회복되지만 별도의 조작이나 조건이 필요하지 않습니다.,[포션회복] : 사용한 포션에 따라 HP/SP/스태미나를 즉시 회복시켜 줍니다.,TUTO_RECOVERY_02,포션 사용 시 재사용 대기시간이 있습니다.,[나무뿌리 수정 파괴] : 나무뿌리 수정을 파괴하면 스태미나가 회복됩니다.,TUTO_RECOVERY_03,나무뿌리 수정은 필드 곳곳에 무작위로 생성됩니다.,[휴식모드 활용] : 휴식모드에서 모닥불을 추가로 사용하면 어디에서라도 빠르게 회복할 수 있습니다.,TUTO_RECOVERY_05,휴식모드시 자연회복 속도 보다 더 빠르게 회복되지만 모닥불을 키면 더 빠르게 회복됩니다.,,,,,,
0,TUTO_OVERKILL,YES,NO,전투,오버킬,강력한 마무리 공격으로 몬스터를 처치하면 오버킬이 발동됩니다.,캐릭터의 강력한 공격스킬로 몬스터의 남은 HP보다 많은 데미지를 줄 경우 오버킬이 발생됩니다.,TUTO_OVERKILL_01,,,,,,,,,,,,,,,,
0,TUTO_ROOTCRYSTAL,NO,NO,전투,나무뿌리 수정,나무뿌리 수정을 파괴하면 스태미나를 회복할 수 있습니다.,필드 곳곳에서 나무뿌리 수정을 찾을 수 있습니다.,TUTO_ROOTCRYSTAL_01,,나무뿌리 수정을 파괴하면 주변 모든 플레이어의 소모된 스태미나가 회복됩니다,TUTO_ROOTCRYSTAL_02,,,,,,,,,,,,,
0,TUTO_OVERHEAT,NO,NO,전투,오버히트,특정 스킬은 일정 횟수 이상 연속으로 사용하면 오버히트가 발동합니다.,오버히트가 발동되면 해당스킬에 쿨타임이 생기고 잠시 동안 사용할 수 없습니다.,TUTO_OVERHEAT_01,아이콘 하단의 게이지가 충전되면 오버히트가 발생,오버히트가 발생하지 않도록 사용가능한 스킬들을 혼용하면 강력한 공격을 쏟아부을 수 있습니다.,TUTO_OVERHEAT_02,다 수의 스킬을 사용하여 오버히트 발생을 억제할 수 있다.,오버히트가 발동하면 일정 시간 동안 해당 스킬을 사용할 수 없습니다.,,일정 시간이 지나면 해당 스킬의 사용 횟수가 다시 초기화 됩니다.,,,,,,,,,
0,TUTO_CRAFT,YES,NO,아이템,아이템 제작,제작서를 습득하면 유용한 아이템을 제작할 수 있습니다.,'제작서'를 습득하면 자동으로 제작가능한 목록에 추가됩니다.,TUTO_CRAFT_01,제작서는 몬스터를 처치하거나 상인에게 구입 혹은 퀘스트 보상을 통해 입수할 수 있습니다.,{nl} {nl}제작을 시작하기 위해선 {img insert 40 40}키를 눌러 휴식모드로 전환한 후 '아이템 제작'버튼을 눌러 시작할 수 있습니다.,TUTO_CRAFT_02,제작하고자 하는 아이템의 재료가 충족되어야 제작을 진행할 수 있습니다.,인벤토리에 제작에 필요한 아이템이 충분하다면 '아이템 제작' 버튼을 눌러서 아이템 제작을 진행할 수 있습니다.,TUTO_CRAFT_03,제조가 완료되면 인벤토리에 제작된 아이템이 들어옵니다.,,,,,,,,,
0,TUTO_NPCSHOP,YES,NO,아이템,상점이용,상인 NPC에게 물건을 사거나 팔 수 있습니다.,도시와 필드를 여행하다보면 상인 NPC를 찾을 수 있습니다,TUTO_NPCSHOP_01,안전지역에 자리잡고 있는 상인 NPC를 찾아보세요.{nl} {nl},하단의 아이템 거래창을 통해 NPC와 아이템을 거래 할 수 있습니다.{nl} {nl}[구입] : 구입하고자 하는 아이템을 우클릭하여 종류 및 수량을 정한 뒤 정산{nl}[판매] : 인벤토리에 판매하고자 하는 아이템을 마우스 우클릭하여 종류와 수량을 정한 뒤 정산{nl} {nl},TUTO_NPCSHOP_02,{img Shift 45 45}키를 누른 채로 마우스 우클릭하여 한 번에 많은 수량을 거래할 수 있습니다.{nl} {nl},상점에 판매한 아이템을 재매입 할 수 있습니다.,TUTO_NPCSHOP_03,{nl} {nl}내가 판매한 아이템을 마우스 우클릭하여 상점에 판매한 아이템을 재매입 할 수 있습니다.{nl} {nl},,TUTO_NPCSHOP_04,,,,,,,
0,TUTO_STATPOINT,YES,NO,기본정보,스테이터스 포인트 분배,레벨업을 통해 얻은 스테이터스포인트를 사용하여 캐릭터의 능력치를 성장시킬 수 있습니다.,{img F1 40 40}키를 사용하여 캐릭터 정보창을 열면 캐릭터의 스테이터스 정보를 확인할 수 있습니다.,TUTO_STATE_01,"스테이터스 포인트를 힘/체력/지능/정신/민첩에 투자하여 캐릭터를 성장시킬 수 있습니다.{nl} {nl}  힘   :물리 공격력, 치명타 공격력 증가{nl} {nl}체력 : 최대 HP, HP회복력, 블럭, 치명타 저항, 소지 제한 무게 증가{nl} {nl}지능 : 마법 공격력, 블럭 관통 증가{nl} {nl}정신 : 최대 SP, SP회복력 증가{nl} {nl}민첩 : 명중, 회피, 치명타 발생확률 증가{nl}","스테이터스에 포인트를 투자하면 해당 스테이터스를 성장시킬 수 있습니다.
{nl}{nl}",TUTO_STATE_02,투자할 스테이터스의 효과를 하단 '정보'탭에서 실시간으로 확인할 수 있습니다.,,,,,,,,,,,,
0,TUTO_CAMPWARP,YES,NO,편의기능,워프,워프 기능을 이용하면 빠르게 원하는 지역으로 이동할 수 있습니다.,대도시의 '여신상' 혹은 '여신 바카리네의 상'을 활성화 시키면 다른 지역에서 해당 지역으로 워프할 수 있습니다,TUTO_CAMPWARP_01,여신상을 활성화 시키기 위해선 여신상 주변에 접근해야 합니다.,바카리네 여신상을 이용하면 활성화시킨 여신상이 있는 지역으로 빠르게 이동할 수 있습니다.,TUTO_CAMPWARP_02,,워프 주문서를 사용하면 즉시 워프 기능을 사용할 수 있습니다.,TUTO_CAMPWARP_03,워프 주문서로 이동할 수 있는 지역은 활성화된 여신상이 있는 지역으로 제한됩니다.,워프 주문서를 다시 사용하면 마지막으로 워프 주문서를 사용한 장소로 빠르게 돌아갈 수 있습니다.,TUTO_CAMPWARP_04,워프 주문서는 상점이나 퀘스트의 보상으로 획득할 수 있습니다.,,,,,,
0,TUTO_TELEPORT,NO,NO,편의기능,돌아가기,돌아가기 버튼을 이용하면 쉽게 퀘스트를 완료할 수 있습니다.,퀘스트를 완료하면 지령창 UI에 '되돌아가기' 버튼이 활성화 됩니다.,TUTO_TELEPORT_01,,'되돌아가기 버튼'({img questinfo_return 40 40})을 클릭하면 완료 NPC가 위치한 지역으로 순간이동할 수 있습니다.,TUTO_TELEPORT_02,혹은 단축키 '백스페이스'키를 사용하여도 '돌아가기'를 사용할 수 있습니다.,,,,,,,,,,,,
0,MINI_E_STATUE,NO,NO,필드 이벤트,여신상,여신상에 경배를 올리면 이로운 효과를 얻을 수 있습니다.,여신상에 경배를 올리면 각각의 여신상마다 이로운 효과를 줍니다.,TUTO_ZEMINA_01,세계 각 지역에 남아있는 여신상들은 모두 특별한 힘을 갖고 있다.,'바카리네 여신상'을 이용하면 지역간의 워프기능을 사용할 수 있습니다.,,워프 기능을 사용하기 위해선 해당 지역의 '바카리네 여신상'을 활성화 시켜야 합니다.,'제미나 여신상'은 캐릭터의 스테이터스 포인트를 얻을 수 있습니다.,,,,,,,,,,,
0,MINI_E_BUFFBOX,NO,NO,필드 이벤트,보물 상자,'보물 상자'에서 특별한 아이템을 얻을 수 있습니다.,필드 곳곳에 숨겨져있는 '보물 상자'를 찾을 수 있습니다.,MINI_E_BUFFBOX_01,보물 상자는 여러 단계가 존재하며 특별한 아이템을 얻을 수 있습니다.,1단계 보물 상자는 별도의 조건 없이 다가가서 {img SPACE 40 40}키를 누르면 상자를 열고 보상을 받을 수 있습니다.,MINI_E_BUFFBOX_02,,2단계 보물 상자부터는 보물 상자의 단계에 맞는 열쇠 아이템을 사용해야 상자를 열 수 있습니다.,MINI_E_BUFFBOX_03,'보물 상자'의 열쇠는 퀘스트 진행과정에서을 통해서 획득할 수 있습니다.,,,,,,,,,
