ClassID,Weight,ItemStar,UseLv,MaterialPrice,Price,PriceRatio,SellPrice,RepairPriceRatio,MaxStack,Scale,DropSoundTime,DeadBreakRatio,NumberArg1,NumberArg2,ItemCoolDown,ClassName,Name,ItemType,Journal,GroupName,EquipXpGroup,MergeTable1,MergeClass1,MergeTable2,MergeClass2,MergeTable3,MergeClass3,ToolTipScp,ItemGrade,TooltipImage,Icon,ReqToolTip,TooltipValue,Desc,DropSound,EquipSound,InOutScp,Script,Destroyable,ShopTrade,UserTrade,RefreshScp,DropStyle,StringArg,Usable,PreCheckScp,Consumable,UseAnim,ClientScp,ParticleName,UseTx,CoolDown,CoolDownGroup,LogoutSave,Reinforce_Type,FileName
16400,0,0,0,0,0,0,0,0,65024,52429,0,0,0,0,0,Drug_MAXSTA1,스태미나 +5 증가 물약,Consume,TRUE,Drug,,,,Item_Consume,Self,Item_Common,Item_Common,ETC,,icon_item_Drug_STA1,icon_item_Seed_STA1,마우스 오른쪽 버튼 클릭으로 사용,,,item_drop_hp_1,consume_drink,,SCR_USE_ITEM_MaxSTAUP,YES,NO,NO,,Normal,,YES,,YES,DRINK,,,NO,,,No,,
16416,0,0,0,0,0,0,0,0,65024,52429,0,0,0,0,24576,Drug_HP1,작은 HP포션,Consume,TRUE,Drug,,,,Item_Consume,Self,Item_Common,Item_Common,ETC,,item_HP_oil_1,item_HP_oil_1,마우스 오른쪽 버튼 클릭으로 사용,CoolDown,2초 간격으로 15초 동안 HP를 192 회복 시켜줍니다. 마우스 오른쪽 클릭으로 사용합니다. 재사용 대기시간 30초.,item_drop_hp_1,consume_drink,,SCR_USE_ITEM_DotBuff,YES,YES,YES,,Normal,Drug_HealHP_Dot,YES,SCR_PRECHECK_CONSUME,YES,APPLY,,F_pc_drug_hpup#DELAY_0.2,NO,SCR_GET_HP_COOLDOWN,HPPOTION,No,,
16432,0,0,0,0,0,0,0,0,65024,52429,0,0,0,0,51200,Drug_HP2,HP포션,Consume,TRUE,Drug,,,,Item_Consume,Self,Item_Common,Item_Common,ETC,,item_HP_oil_2,item_HP_oil_2,마우스 오른쪽 버튼 클릭으로 사용,CoolDown,2초 간격으로 15초 동안 HP를 320 회복 시켜줍니다. 마우스 오른쪽 클릭으로 사용합니다. 재사용 대기시간 45초.,item_drop_hp_1,consume_drink,,SCR_USE_ITEM_DotBuff,YES,YES,YES,,Normal,Drug_HealHP_Dot,YES,SCR_PRECHECK_CONSUME,YES,APPLY,,F_pc_drug_hpup,NO,SCR_GET_HP_COOLDOWN,HPPOTION,No,,
16448,0,0,0,0,0,0,0,0,65024,52429,0,0,0,0,24576,Drug_HP3,큰 HP포션,Consume,TRUE,Drug,,,,Item_Consume,Self,Item_Common,Item_Common,ETC,,item_HP_oil_3,item_HP_oil_3,마우스 오른쪽 버튼 클릭으로 사용,CoolDown,2초 간격으로 15초 동안 HP를 640 회복 시켜줍니다. 마우스 오른쪽 클릭으로 사용합니다. 재사용 대기시간 60초.,item_drop_hp_1,consume_drink,,SCR_USE_ITEM_DotBuff,YES,YES,YES,,Normal,Drug_HealHP_Dot,YES,SCR_PRECHECK_CONSUME,YES,APPLY,,F_pc_drug_hpup,NO,SCR_GET_HP_COOLDOWN,HPPOTION,No,,
16464,0,0,0,0,0,0,0,0,65024,52429,0,0,0,0,24576,Drug_SP1,작은 SP포션,Consume,TRUE,Drug,,,,Item_Consume,Self,Item_Common,Item_Common,ETC,,item_SP_requid_1,item_SP_requid_1,마우스 오른쪽 버튼 클릭으로 사용,CoolDown,2초 간격으로 15초 동안 SP를 144 회복 시켜줍니다. 마우스 오른쪽 클릭으로 사용합니다. 재사용 대기시간 30초.,item_drop_sp_1,consume_drink,,SCR_USE_ITEM_DotBuff,YES,YES,YES,,Normal,Drug_HealSP_Dot,YES,SCR_PRECHECK_CONSUME,YES,POUR,,F_pc_drug_spup,NO,SCR_GET_SP_COOLDOWN,SPPOTION,No,,
16480,0,0,0,0,0,0,0,0,65024,52429,0,0,0,0,51200,Drug_SP2,SP포션,Consume,TRUE,Drug,,,,Item_Consume,Self,Item_Common,Item_Common,ETC,,item_SP_requid_2,item_SP_requid_2,마우스 오른쪽 버튼 클릭으로 사용,CoolDown,2초 간격으로 15초 동안 SP를 240 회복 시켜줍니다. 마우스 오른쪽 클릭으로 사용합니다. 재사용 대기시간 45초.,item_drop_sp_1,consume_drink,,SCR_USE_ITEM_DotBuff,YES,YES,YES,,Normal,Drug_HealSP_Dot,YES,SCR_PRECHECK_CONSUME,YES,POUR,,F_pc_drug_spup,NO,SCR_GET_SP_COOLDOWN,SPPOTION,No,,
16496,0,0,0,0,0,0,0,0,65024,52429,0,0,0,0,24576,Drug_SP3,큰 SP포션,Consume,TRUE,Drug,,,,Item_Consume,Self,Item_Common,Item_Common,ETC,,item_SP_requid_3,item_SP_requid_3,마우스 오른쪽 버튼 클릭으로 사용,CoolDown,2초 간격으로 15초 동안 SP를 480 회복 시켜줍니다. 마우스 오른쪽 클릭으로 사용합니다. 재사용 대기시간 60초.,item_drop_sp_1,consume_drink,,SCR_USE_ITEM_DotBuff,YES,YES,YES,,Normal,Drug_HealSP_Dot,YES,SCR_PRECHECK_CONSUME,YES,POUR,,F_pc_drug_spup,NO,SCR_GET_SP_COOLDOWN,SPPOTION,No,,
16512,0,0,0,0,0,0,0,0,65024,52429,0,0,0,0,24576,Drug_STA1,스태미나 알약,Consume,TRUE,Drug,,,,Item_Consume,Self,Item_Common,Item_Common,ETC,,item_STA_pill_1,item_STA_pill_1,마우스 오른쪽 버튼 클릭으로 사용,CoolDown,스태미나를 15 회복 시켜줍니다. 마우스 오른쪽 클릭으로 사용합니다. 재사용 대기시간 30초.,item_drop_sta_1,consume_drink,,SCR_USE_ITEM_AddSTA1,YES,YES,YES,,Normal,Drug_HealSP_Dot,YES,SCR_PRECHECK_CONSUME,YES,PILL,,F_pc_drug_staup,NO,SCR_GET_STA_COOLDOWN,STAPOTION,No,,
16528,0,0,0,0,0,0,0,0,65024,52429,0,0,0,0,51200,Drug_STA2,STA 물약(중),Consume,TRUE,Drug,,,,Item_Consume,Self,Item_Common,Item_Common,ETC,,item_STA_pill_2,item_STA_pill_2,마우스 오른쪽 버튼 클릭으로 사용,CoolDown,스태미나를 30 회복 시켜줍니다. 마우스 오른쪽 클릭으로 사용합니다. 재사용 대기시간 45초.,item_drop_sta_1,consume_drink,,SCR_USE_ITEM_AddSTA1,YES,YES,YES,,Normal,Drug_HealSP_Dot,YES,SCR_PRECHECK_CONSUME,YES,PILL,,F_pc_drug_staup,NO,SCR_GET_STA_COOLDOWN,STAPOTION,No,,
16544,0,0,0,0,0,0,0,0,65024,52429,0,0,0,0,24576,Drug_STA3,STA 물약(대),Consume,TRUE,Drug,,,,Item_Consume,Self,Item_Common,Item_Common,ETC,,item_STA_pill_3,item_STA_pill_3,마우스 오른쪽 버튼 클릭으로 사용,CoolDown,스태미나를 40 회복 시켜줍니다. 마우스 오른쪽 클릭으로 사용합니다. 재사용 대기시간 60초.,item_drop_sta_1,consume_drink,,SCR_USE_ITEM_AddSTA1,YES,YES,YES,,Normal,,YES,SCR_PRECHECK_CONSUME,YES,PILL,,F_pc_drug_staup,NO,SCR_GET_STA_COOLDOWN,STAPOTION,No,,
16560,0,0,0,0,0,0,0,0,65024,52429,0,0,0,0,24576,Drug_HPSP1,작은 회복포션,Consume,TRUE,Drug,,,,Item_Consume,Self,Item_Common,Item_Common,ETC,,item_HPSP_potion_1,item_HPSP_potion_1,마우스 오른쪽 버튼 클릭으로 사용,CoolDown,2초 간격으로 15초 동안 HP와 SP를 224 회복 시켜줍니다. 마우스 오른쪽 클릭으로 사용합니다. 재사용 대기시간 30초.,item_drop_hp_1,consume_drink,,SCR_USE_ITEM_DotBuff,YES,YES,YES,,Normal,Drug_HealHPSP_Dot,YES,SCR_PRECHECK_CONSUME,YES,DRINK,,,NO,SCR_GET_STA_COOLDOWN,HPSPPOTION,No,,
16576,0,0,0,0,0,0,0,0,65024,52429,0,0,0,0,20480,Drug_HPSP2,회복포션,Consume,TRUE,Drug,,,,Item_Consume,Self,Item_Common,Item_Common,ETC,,item_HPSP_potion_2,item_HPSP_potion_2,마우스 오른쪽 버튼 클릭으로 사용,CoolDown,2초 간격으로 15초 동안 HP와 SP를 373 회복 시켜줍니다. 마우스 오른쪽 클릭으로 사용합니다. 재사용 대기시간 30초.,item_drop_hp_1,consume_drink,,SCR_USE_ITEM_DotBuff,YES,YES,YES,,Normal,Drug_HealHPSP_Dot,YES,SCR_PRECHECK_CONSUME,YES,DRINK,,,NO,SCR_GET_HPSP_COOLDOWN,HPSPPOTION,No,,
