ClassID,Weight,PR,DamageRange,ItemLv,PATK,ADD_MATK,ItemGrade,ItemStar,UseLv,MaterialPrice,Price,PriceRatio,SellPrice,RepairPriceRatio,MaxStack,Scale,DropSoundTime,DeadBreakRatio,NumberArg1,NumberArg2,ItemCoolDown,Dur,MaxDur,repairPrice,UseCount,Hardness,ADD_MINATK,ADD_MAXATK,ADD_DEF,CRTHR,CRTATK,CRTDR,ADD_HR,ADD_DR,STR,DEX,CON,INT,MNA,SR,SDR,MHR,ADD_MDEF,MGP,AddSkillMaxR,SkillRange,SkillAngle,Luck,BlockRate,BLK,BLK_BREAK,Revive,HitCount,BackHit,SkillPower,ASPD,MSPD,KDPow,MHP,MSP,MSTA,RHP,RSP,RSPTIME,RSTA,ADD_CLOTH,ADD_LEATHER,ADD_CHAIN,ADD_IRON,ADD_GHOST,ADD_SMALLSIZE,ADD_MIDDLESIZE,ADD_LARGESIZE,ADD_FORESTER,ADD_WIDLING,ADD_VELIAS,ADD_PARAMUNE,ADD_KLAIDA,ADD_FIRE,ADD_ICE,ADD_POISON,ADD_LIGHTNING,ADD_EARTH,ADD_HOLY,ADD_DARK,BaseSocket,MaxSocket,MinOption,MaxOption,Aries,AriesDEF,Slash,SlashDEF,Strike,StrikeDEF,Aries_Range,Slash_Range,Strike_Range,MinRDmg,MaxRDmg,FDMinR,FDMaxR,TotalArrowCount,ArrowCount,RES_FIRE,RES_ICE,RES_POISON,RES_LIGHTNING,RES_EARTH,RES_HOLY,RES_DARK,BaseSocket_MA,MaxSocket_MA,ClassName,Name,ItemType,Journal,GroupName,EquipGroup,EquipXpGroup,MergeTable1,MergeClass1,MergeTable2,MergeClass2,MergeTable3,MergeClass3,ToolTipScp,BasicTooltipProp,TooltipImage,Icon,ReqToolTip,TooltipValue,OptDesc,Desc,DropSound,EquipSound,InOutScp,Script,Destroyable,ShopTrade,UserTrade,RefreshScp,DropStyle,StringArg,Usable,PreCheckScp,Consumable,UseAnim,ClientScp,ParticleName,UseTx,COOLDOWN,CoolDownGroup,LogoutSave,ClassType,ClassType2,NodeName,ModelType,FileName,AttachType,Attribute,AttackType,Material,UseJob,UseGender,DBLHand,EqpType,DefaultEqpSlot,WeaponTrailEffect,BlowSoundType,DefSoundType,BlkSoundType,EqpInOut,OptionGroup,IsPrivate,LHandSkill,Reinforce_Type,CoolDown
16384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NoHelmet,없음_helmet,Equip,FALSE,Helmet,,,Item_Opt,Item_Opt,Item_Common,Item_Common,,,WEAPON,,icon_item_Quest_00017,icon_item_Sword_1,,,,,item_drop_weapon,,,,YES,YES,YES,,Normal,,NO,,NO,,,,NO,,,No,,,,,,Sword,Melee,,,All,Both,NO,HELMET,HELMET,,,,,,,NO,,Moru,
17408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,murmillo_helmet,무르밀로 헬멧,Equip,FALSE,Helmet,,,Item_Opt,Item_Opt,Item_Common,Item_Common,,,WEAPON,,icon_item_Quest_00017,icon_item_Sword_26,,,,,item_drop_weapon,,,,YES,NO,NO,,Normal,,NO,,NO,,,,NO,,,No,Helmet,Helmet,Bip01 Head,PC_WAR_F,murmillo_helmet,Sword,Melee,,,All,Both,NO,HELMET,HELMET,,,,,,,NO,,Moru,
57344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NoArmband,없음_armband,Equip,FALSE,Armband,,,Item_Opt,Item_Opt,Item_Common,Item_Common,,,WEAPON,,icon_item_Quest_00017,icon_item_Sword_1,,,,,item_drop_weapon,,,,YES,NO,NO,,Normal,,NO,,NO,,,,NO,,,No,,,,,,Sword,Melee,,,All,Both,NO,ARMBAND,ARMBAND,,,,,,,NO,,Moru,
58368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39322,0,0,0,0,0,9200,9200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Artefact_718,붉은 밴드,Equip,FALSE,Armband,,,Item_Opt,Item_Opt,Item_Common,Item_Common,,,WEAPON,,icon_item_knife,icon_item_knife,암밴드,,,,item_drop_weapon,,,,YES,NO,NO,,Normal,,NO,,NO,,,,NO,,,No,Armband,Armband,Dummy_LU_armband,,#artefact_armband,Sword,Melee,,,All,Both,NO,ARMBAND,ARMBAND,I_swordtrail003_green,Sword,,Sword,,,NO,,Moru,
59392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39322,0,0,0,0,0,9200,9200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Artefact_719,매듭진 밴드,Equip,FALSE,Armband,,,Item_Opt,Item_Opt,Item_Common,Item_Common,,,WEAPON,,icon_item_knife,icon_item_knife,암밴드,,,,item_drop_weapon,,,,YES,NO,NO,,Normal,,NO,,NO,,,,NO,,,No,Armband,Armband,Dummy_LU_armband,,#armband_cloth,Sword,Melee,,,All,Both,NO,ARMBAND,ARMBAND,I_swordtrail003_green,Sword,,Sword,,,NO,,Moru,
60416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39322,0,0,0,0,0,9200,9200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Artefact_720,긴 밴드,Equip,FALSE,Armband,,,Item_Opt,Item_Opt,Item_Common,Item_Common,,,WEAPON,,icon_item_knife,icon_item_knife,암밴드,,,,item_drop_weapon,,,,YES,NO,NO,,Normal,,NO,,NO,,,,NO,,,No,Armband,Armband,Dummy_LU_armband,,#armband_clothlong,Sword,Melee,,,All,Both,NO,ARMBAND,ARMBAND,I_swordtrail003_green,Sword,,Sword,,,NO,,Moru,
61440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39322,0,0,0,0,0,9200,9200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Artefact_721,깃털 장식 밴드,Equip,FALSE,Armband,,,Item_Opt,Item_Opt,Item_Common,Item_Common,,,WEAPON,,icon_item_knife,icon_item_knife,암밴드,,,,item_drop_weapon,,,,YES,NO,NO,,Normal,,NO,,NO,,,,NO,,,No,Armband,Armband,Dummy_LU_armband,,#armband_feather,Sword,Melee,,,All,Both,NO,ARMBAND,ARMBAND,I_swordtrail003_green,Sword,,Sword,,,NO,,Moru,
62464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39322,0,0,0,0,0,9200,9200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Artefact_722,술달린 밴드,Equip,FALSE,Armband,,,Item_Opt,Item_Opt,Item_Common,Item_Common,,,WEAPON,,icon_item_knife,icon_item_knife,암밴드,,,,item_drop_weapon,,,,YES,NO,NO,,Normal,,NO,,NO,,,,NO,,,No,Armband,Armband,Dummy_LU_armband,,#armband_tassel,Sword,Melee,,,All,Both,NO,ARMBAND,ARMBAND,I_swordtrail003_green,Sword,,Sword,,,NO,,Moru,
38519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16384,16384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NoWeapon_Sword,없음_weapon,Equip,FALSE,Weapon,Weapon,,Item_Opt,Item_Opt,Item_Common,Item_Common,,,WEAPON,,icon_item_Quest_00017,icon_item_Sword_1,,,,,item_drop_weapon,,,,YES,YES,YES,SCR_REFRESH_WEAPON,Normal,,NO,,NO,,,,NO,,,No,,,Dummy_L_HAND,,,Sword,Melee,,,Char1,Both,NO,SH,RH,I_swordtrail003_green,Sword,,Sword,,,NO,,Moru,
30336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SWD01_101,조악한 글라디우스,Equip,TRUE,Weapon,Weapon,Equip,Item_Opt,Item_Opt,Item_Common,Item_Common,,,WEAPON,ATK,icon_item_Sword_22,icon_item_Sword_22,한손검[베기],,,글라디우스는 왕국 병사의 기본 무장 중 하나로 민간에서도 널리 사용됩니다.,item_drop_weapon,block_shield.wav,,,YES,YES,NO,SCR_REFRESH_WEAPON,Normal,,NO,,NO,,,,NO,,,No,Sword,Sword,Dummy_L_HAND,PC_WAR_F,sword_gladius,Sword,Melee,Slash,,"Char1,Char2,Char4",Both,NO,SH,RH,I_swordtrail004_blue,Sword,,Sword,,C_Sword,NO,,Moru,
