ClassID,Weight,ItemStar,UseLv,MaterialPrice,Price,PriceRatio,SellPrice,RepairPriceRatio,MaxStack,Scale,DropSoundTime,DeadBreakRatio,NumberArg1,NumberArg2,ItemCoolDown,ClassName,Name,ItemType,Journal,GroupName,EquipXpGroup,MergeTable1,MergeClass1,MergeTable2,MergeClass2,MergeTable3,MergeClass3,ToolTipScp,ItemGrade,TooltipImage,Icon,ReqToolTip,Desc,DropSound,EquipSound,InOutScp,Script,Destroyable,ShopTrade,UserTrade,RefreshScp,DropStyle,StringArg,Usable,PreCheckScp,Consumable,UseAnim,ClientScp,ParticleName,UseTx,CoolDown,CoolDownGroup,LogoutSave
45488,0,0,0,0,0,0,0,0,65024,52429,0,0,0,0,51200,Return_Scroll,망향의 구슬,Quest,TRUE,Quest,,,,,,Item_Common,Item_Common,ETC,,icon_item_orb_1,icon_item_orb_1,마우스 오른쪽 버튼 클릭으로 사용,사용하면 저장된 지점으로 순간이동하는 보주{nl}재사용 대기 시간 15분,item_drop_stone_1,,,SCR_USE_ITEM_ReturnScroll,NO,NO,NO,,Normal,,YES,,NO,,,,NO,SCR_GET_ITEM_COOLDOWN,RETURN,No
45504,0,0,0,0,0,0,0,0,65024,52429,0,0,0,0,31744,Escape_Orb,클라페다 귀환석,Quest,TRUE,Material,,,,,,Item_Common,Item_Common,ETC,,MercenaryBadge,MercenaryBadge,마우스 오른쪽 버튼 클릭으로 사용,클라페다로 이동시켜주는 아이템입니다. 마우스 오른쪽 클릭으로 사용합니다. 재사용 대기시간 20분,item_drop_stone_1,,,SCR_USE_ITEM_Escape,NO,NO,NO,,Normal,,YES,SCR_PRE_Escape,NO,,,,NO,SCR_GET_ITEM_COOLDOWN,Escape_Orb,Yes
45968,0,0,0,0,0,0,0,0,65024,52429,0,0,0,0,0,Act2_Manager_Report,수정광산 봉인 해제주문서 1,Quest,TRUE,Quest,,,,,,Item_Common,Item_Common,ETC,,icon_item_Scroll,icon_item_Scroll,퀘스트 아이템,수정광산 봉인 해제주문서 1,item_drop_stone_1,,,,NO,NO,NO,,Normal,,NO,,NO,,,,NO,SCR_GET_ITEM_COOLDOWN,,No
46128,0,0,0,0,0,0,0,0,65024,52429,0,0,0,0,0,SOUT_Q_16_PRE2_ITEM,수정광산 봉인 해제주문서 2,Quest,TRUE,Quest,,,,,,Item_Common,Item_Common,ETC,,icon_item_Scroll,icon_item_Scroll,퀘스트 아이템,수정광산 봉인 해제주문서 2,item_drop_stone_1,,,,NO,NO,NO,,Normal,,NO,,NO,,,,NO,SCR_GET_ITEM_COOLDOWN,,No
46352,0,0,0,0,0,0,0,0,65024,52429,0,0,0,0,0,Bocors_doll,보코르 인형,Quest,TRUE,Quest,,,,,,Item_Common,Item_Common,ETC,,icon_item_strawdoll2,icon_item_strawdoll2,퀘스트 아이템,보코르가 사용하는 마법의 매개체. 영적인 마법의 효과를 위해 보코르가 직접 자신의 보코르 인형을 제작한다.,item_drop_stone_1,,,,NO,NO,NO,,Normal,,NO,,NO,,,,NO,SCR_GET_ITEM_COOLDOWN,,No
46400,0,0,0,0,0,0,0,0,65024,52429,0,0,0,0,0,FireMage_old_Scroll,파이로맨서의 오래된 스크롤,Quest,TRUE,Quest,,,,,,Item_Common,Item_Common,ETC,,icon_item_Scroll,icon_item_Scroll,퀘스트 아이템,파이로맨서가 숨겨둔 오래된 스크롤. 알아볼 수 없는 문자와 문양이 그려져 있다.,item_drop_stone_1,,,,NO,NO,NO,,Normal,,NO,,NO,,,,NO,SCR_GET_ITEM_COOLDOWN,,No
46416,0,0,0,0,0,0,0,0,65024,52429,0,0,0,0,0,katyn_7_Messenger,전령의 가방,Quest,TRUE,Quest,,,,,,Item_Common,Item_Common,ETC,,icon_item_sidebag,icon_item_sidebag,퀘스트 아이템,전령의 것으로 보이는 가방. 여러가지 보고서와 식량이 들어 있다.,item_drop_stone_1,,,,NO,NO,NO,,Normal,,NO,,NO,,,,NO,SCR_GET_ITEM_COOLDOWN,,No
46432,0,0,0,0,0,0,0,0,65024,52429,0,0,0,0,0,katyn_corpse,병사의 유해,Quest,TRUE,Quest,,,,,,Item_Common,Item_Common,ETC,,icon_item_Quest_00017,icon_item_Quest_00017,퀘스트 아이템,몬스터에게 습격 받아 숨을 거둔 병사의 유해. 이미 형태를 알아 보기 힘들 정도가 되어 있다.,item_drop_stone_1,,,,NO,NO,NO,,Normal,,NO,,NO,,,,NO,SCR_GET_ITEM_COOLDOWN,,No
46448,0,0,0,0,0,0,0,0,65024,52429,0,0,0,0,0,siauliai_lichen,이끼,Quest,TRUE,Quest,,,,,,Item_Common,Item_Common,ETC,,icon_item_fur_02Green,icon_item_fur_02Green,퀘스트 아이템,괴현상을 조사하기 위해 채집한 이끼. 여러가지를 알아낼 수 있다고 한다.,item_drop_stone_1,,,,NO,NO,NO,,Normal,,NO,,NO,,,,NO,SCR_GET_ITEM_COOLDOWN,,No
46464,0,0,0,0,0,0,0,0,65024,52429,0,0,0,0,0,siauliai_discolored_grass,변색된 풀,Quest,TRUE,Quest,,,,,,Item_Common,Item_Common,ETC,,icon_item_grassbladeb,icon_item_grassbladeb,퀘스트 아이템,색이 변한 풀. 마족의 힘에 영향을 받은 것으로 추측하고 있다.,item_drop_stone_1,,,,NO,NO,NO,,Normal,,NO,,NO,,,,NO,SCR_GET_ITEM_COOLDOWN,,No
