ClassID,WarpCost,EventExp,BindCamFarPlane,UseMapFog,DefGenX,DefGenY,DefGenZ,RotateAngle,Width,Height,RewardEXPBM,ItemPriorityTime,StaminaRate,MaxHateCount,NotUseHide,PoisonGroup,DropItemRatio1,DropItemRatio2,DropItemRatio3,DropItemRatio4,DropItemRatio5,DropItemRatio6,DropItemRatio7,DropItemRatio8,DropItemRatio9,DropItemRatio10,ClassName,CategoryName,Name,BgmPlayList,Group,Theme,MapType,WorldMap,PhysicalLinkZone,QuestLinkZone,Journal,IntroDirection,EngName,BgName,Type,isVillage,Party,WaterScript,FixedLvScp,Mission,SaveProperty,LocFile,ChangeChannel,UseCulling,InitScript,UseAIOutOfPC,TeamObb,MonEnterScp,DropItemClassName1,DropItemBNType1,DropItemExceptMon1,DropItemClassName2,DropItemBNType2,DropItemExceptMon2,DropItemClassName3,DropItemBNType3,DropItemExceptMon3,DropItemClassName4,DropItemBNType4,DropItemExceptMon4,DropItemClassName5,DropItemBNType5,DropItemExceptMon5,DropItemClassName6,DropItemBNType6,DropItemExceptMon6,DropItemClassName7,DropItemBNType7,DropItemExceptMon7,DropItemClassName8,DropItemBNType8,DropItemExceptMon8,DropItemClassName9,DropItemBNType9,DropItemExceptMon9,DropItemClassName10,DropItemBNType10,DropItemExceptMon10
0,0,0,32768,0,0,26214,0,0,0,0,0,24576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,test_zone,테스트존,테스트존,test_zone,,,,,,,FALSE,,Test_Zone,raid_zone,PARTYWAR,NO,YES,,,NO,YES,,YES,YES,,NO,NO,MON_ENTER_COMMON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16384,0,0,32768,0,16384,0,0,0,0,0,0,24576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,c_fedimian,페디미안 직할령,페디미안,c_fedimian,Fedimian,도시,City,3/13/1,c_request_1/f_remains_40/f_pilgrimroad_46,c_request_1/f_remains_40/f_pilgrimroad_46/d_firetower_41/f_katyn_7,FALSE,,c_fedimian,c_fedimian,PARTYWAR,YES,YES,,,NO,YES,,YES,YES,,NO,NO,MON_ENTER_COMMON,,Etc_Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16384,0,0,32768,0,0,0,32768,0,0,0,0,24576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,c_Klaipe,클라페다령,클라페다,c_Klaipe,Klaipe,도시,City,2/1/1,c_highlander/c_voodoo/c_firemage/f_siauliai_west/f_siauliai_2/f_siauliai_50_1,c_highlander/c_voodoo/c_firemage/f_siauliai_west/f_siauliai_2/f_siauliai_50_1,FALSE,,KLAPEDA,c_Klaipe,PARTYWAR,YES,YES,,,NO,YES,,YES,YES,,NO,NO,MON_ENTER_COMMON,,Etc_Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32768,0,0,32768,0,0,0,0,0,0,0,0,24576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,c_highlander,클라페다령,하이랜더 마스터의 도장,c_master,Klaipe,도시,City,2/1/2,c_Klaipe,c_Klaipe,FALSE,,Test_Zone,c_highlander,PARTYWAR,YES,YES,,,NO,YES,,YES,YES,,NO,NO,MON_ENTER_COMMON,,Etc_Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49152,0,0,32768,0,0,0,0,0,0,0,0,24576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,c_voodoo,클라페다령,보코르 마마의 집,c_master,Klaipe,도시,City,2/1/3,c_Klaipe,c_Klaipe,FALSE,,Test_Zone,c_voodoo,PARTYWAR,YES,YES,,,NO,YES,,YES,YES,,NO,NO,MON_ENTER_COMMON,,Etc_Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,32768,0,0,0,0,0,0,0,0,24576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,c_firemage,클라페다령,파이로맨서 마스터의 연구실,c_master,Klaipe,도시,City,2/1/4,c_Klaipe,c_Klaipe,TRUE,,Test_Zone,c_firemage,PARTYWAR,YES,YES,,,NO,YES,,YES,YES,,NO,NO,MON_ENTER_COMMON,,Etc_Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16384,0,0,32768,0,0,0,0,0,0,0,0,24576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,c_request_1,페디미안 직할령,용병 의뢰소,c_master,Fedimian,도시,City,3/13/2,c_fedimian,c_fedimian,TRUE,,c_request_1,c_request_1,PARTYWAR,YES,YES,,,NO,YES,,YES,YES,,NO,NO,MON_ENTER_COMMON,,Etc_Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32768,0,0,32768,0,0,0,0,0,0,0,0,24576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,c_orsha,국왕직할령,오르샤,,orsha,도시,City,7/24/0,f_castle_98/f_castle_99/f_dcapital_103,f_castle_98/f_castle_99/f_dcapital_103,TRUE,,c_orsha,c_orsha,PARTYWAR,YES,YES,,,NO,YES,,YES,YES,,NO,NO,MON_ENTER_COMMON,,Etc_Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16384,0,0,32768,0,49152,0,8192,0,0,0,0,24576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,f_siauliai_west,클라페다령,샤울레이 서쪽 숲,f_siauliai,siauliai,샤울레이,Field,1/1/0,c_Klaipe,c_Klaipe/f_siauliai_2,TRUE,,SIAULIAI,f_siauliai_1,PARTYWAR,NO,YES,,,NO,YES,,YES,YES,,NO,NO,MON_ENTER_COMMON,,Etc_Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,32768,0,57344,0,49152,0,0,0,0,24576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,f_siauliai_2,클라페다령,샤울레이 동쪽 숲,f_siauliai,siauliai,샤울레이,Field,3/1/0,c_Klaipe/f_siauliai_out,c_Klaipe/f_siauliai_out/f_siauliai_west,TRUE,,SIAULIAI,f_siauliai_2,PARTYWAR,NO,YES,,,NO,YES,,YES,YES,,NO,NO,MON_ENTER_COMMON,,Etc_Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8192,0,0,32768,0,0,0,32768,0,0,0,0,24576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,f_siauliai_out,클라페다령,샤울레이 광산 마을,f_siauliai_out,siauliai,샤울레이,Field,4/1/0,f_siauliai_2/f_gele_57_1/d_cmine_01,f_siauliai_2/f_gele_57_1/d_cmine_01,TRUE,,SIAULIAI,f_siauliai_out,PARTYWAR,NO,YES,,,NO,YES,,YES,YES,,NO,NO,MON_ENTER_COMMON,,Etc_Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,
