ClassID,BornAniCount,DeadHideTime,DeadHideBlendTime,SpriteScale,TopOffset,MidOffset,BtmOffset,LODDist,PT_Body,PT_Shirt,PT_Pants,PT_PantsAdd1,PT_PantsAdd2,PT_Face,PT_Hair,PT_Hat,PT_Gloves,PT_Boots,PT_Belt,PT_Outer,PT_OuterAdd1,PT_OuterAdd2,WlkAniSPD,RunAniSPD,MoveCompleteLoop,ClassName,RootName,FileName,EffectPostFix,UseSilhouette,Full3D_Model,DirType,MorphFile,Render,AutoJump,UseBone,Retarget,RootNode,ForceHitDummy,TopDummy,LookAtNode,HitEffectNode,DamageTextNode,PT_BodyColor,PT_ShirtColor,PT_PantsColor,PT_PantsAdd1Color,PT_PantsAdd2Color,PT_FaceColor,PT_HairColor,PT_HatColor,PT_GlovesColor,PT_BootsColor,PT_BeltColor,PT_OuterColor,PT_OuterAdd1Color,PT_OuterAdd2Color,CheckBoundingBox
20512,0,0,0,0,0,0,0,0,20512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Onion,Onion,Onion,,YES,NO,Dir_16,,Normal,YES,Yes,No,Bip01,Dummy_debuff_body,Bip01 Head,Bip01 Head,Dummy_debuff_body,Bip01 Neck,0;0;0;1,0;0;0;1,0;0;0;1,0;0;0;0,0;0;0;0,0;0;0;1,0;0;0;1,0;0;0;1,0;0;0;1,0;0;0;1,0;0;0;1,0;0;0;1,0;0;0;1,0;0;0;1,NO
20544,0,0,0,13107,0,0,0,0,20544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Onion_Big,Onion_Big,Onion_Big,,YES,YES,,,Normal,YES,Yes,No,Bip01,Dummy_debuff_body,Bip01 Head,Bip01 Head,Dummy_debuff_body,Bip01 Neck,0;0;0;1,0;0;0;1,0;0;0;1,0;0;0;0,0;0;0;0,0;0;0;1,0;0;0;1,0;0;0;1,0;0;0;1,0;0;0;1,0;0;0;1,0;0;0;1,0;0;0;1,0;0;0;1,NO
20576,0,0,0,0,0,0,0,0,20576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Onion_Red,Onion_Red,Onion_Red,red,YES,NO,,,Normal,YES,Yes,No,Bip01,Dummy_debuff_body,Bip01 Head,Bip01 Head,Dummy_debuff_body,Bip01 Neck,0;0;0;1,0;0;0;1,0;0;0;1,0;0;0;0,0;0;0;0,0;0;0;1,0;0;0;1,0;0;0;1,0;0;0;1,0;0;0;1,0;0;0;1,0;0;0;1,0;0;0;1,0;0;0;1,NO
20640,0,0,0,0,0,0,0,0,20640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Onion_green,Onion_green,Onion_green,green,YES,NO,Dir_16,,Normal,YES,Yes,No,Bip01,Dummy_debuff_body,Bip01 Head,Bip01 Head,Dummy_debuff_body,Bip01 Neck,0;0;0;1,0;0;0;1,0;0;0;1,0;0;0;0,0;0;0;0,0;0;0;1,0;0;0;1,0;0;0;1,0;0;0;1,0;0;0;1,0;0;0;1,0;0;0;1,0;0;0;1,0;0;0;1,NO
21152,0,0,0,39322,0,0,0,0,21152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Haming,Haming,Haming,,YES,NO,Dir_16,,Normal,YES,Yes,No,Bip01,Bip01,Bip01 Head,Bip01 Head,Bip01 Spine1,Bip01 Spine1,0;0;0;1,0;0;0;1,0;0;0;1,0;0;0;0,0;0;0;0,0;0;0;1,0;0;0;1,0;0;0;1,0;0;0;1,0;0;0;1,0;0;0;1,0;0;0;1,0;0;0;1,0;0;0;1,NO
21472,0,0,0,39322,0,0,0,0,21472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Hanaming,Hanaming,Hanaming,,YES,NO,Dir_16,,Normal,YES,Yes,No,Bip01,Bip01,Bip01 Head,Bip01 Head,Bip01 Spine1,Bip01 Spine1,0;0;0;1,0;0;0;1,0;0;0;1,0;0;0;0,0;0;0;0,0;0;0;1,0;0;0;1,0;0;0;1,0;0;0;1,0;0;0;1,0;0;0;1,0;0;0;1,0;0;0;1,0;0;0;1,NO
21792,0,0,0,0,0,0,0,0,21792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bokchoy,Bokchoy,Bokchoy,,YES,NO,Dir_16,,Normal,YES,Yes,No,Bip01,Bip01,Bip01 Head,Bip01 Head,Bip01 Neck,Bip01 Neck,0;0;0;1,0;0;0;1,0;0;0;1,0;0;0;0,0;0;0;0,0;0;0;1,0;0;0;1,0;0;0;1,0;0;0;1,0;0;0;1,0;0;0;1,0;0;0;1,0;0;0;1,0;0;0;1,NO
21824,0,0,0,26214,0,0,0,0,21824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bokchoy_Big,Bokchoy_Big,Bokchoy_Big,,YES,YES,,,Normal,YES,Yes,No,Bip01,Bip01,Bip01 Head,Bip01 Head,Bip01 Neck,Bip01 Neck,0;0;0;1,0;0;0;1,0;0;0;1,0;0;0;0,0;0;0;0,0;0;0;1,0;0;0;1,0;0;0;1,0;0;0;1,0;0;0;1,0;0;0;1,0;0;0;1,0;0;0;1,0;0;0;1,NO
22432,0,0,0,52429,0,0,0,0,22432,0,0,0,0,0,0,0,0,0,0,0,0,0,47081,65012,0,Jukopus,Jukopus,Jukopus,,YES,NO,Dir_16,,Normal,YES,Yes,No,Bip01,Bip01,Bip01 Head,Bip01 Head,Bip01 Head,Bip01 Head,0;0;0;1,0;0;0;1,0;0;0;1,0;0;0;0,0;0;0;0,0;0;0;1,0;0;0;1,0;0;0;1,0;0;0;1,0;0;0;1,0;0;0;1,0;0;0;1,0;0;0;1,0;0;0;1,NO
22464,0,0,0,52429,0,0,0,0,22464,0,0,0,0,0,0,0,0,0,0,0,0,0,47081,65012,0,Jukopus_blue,Jukopus_blue,Jukopus_blue,,YES,NO,Dir_16,,Normal,YES,Yes,No,Bip01,Bip01,Bip01 Head,Bip01 Head,Bip01 Head,Bip01 Head,0;0;0;1,0;0;0;1,0;0;0;1,0;0;0;0,0;0;0;0,0;0;0;1,0;0;0;1,0;0;0;1,0;0;0;1,0;0;0;1,0;0;0;1,0;0;0;1,0;0;0;1,0;0;0;1,NO
