ClassID,BornAniCount,DeadHideTime,DeadHideBlendTime,SpriteScale,TopOffset,MidOffset,BtmOffset,LODDist,PT_Body,PT_Shirt,PT_Pants,PT_PantsAdd1,PT_PantsAdd2,PT_Face,PT_Hair,PT_Hat,PT_Gloves,PT_Boots,PT_Belt,PT_Outer,PT_OuterAdd1,PT_OuterAdd2,Item1,Item2,Item3,Item4,Item5,WlkAniSPD,RunAniSPD,MoveCompleteLoop,ClassName,RootName,FileName,EffectPostFix,UseSilhouette,Full3D_Model,DirType,MorphFile,Render,AutoJump,UseBone,Retarget,RootNode,ForceHitDummy,TopDummy,LookAtNode,HitEffectNode,DamageTextNode,PT_BodyColor,PT_ShirtColor,PT_PantsColor,PT_PantsAdd1Color,PT_PantsAdd2Color,PT_FaceColor,PT_HairColor,PT_HatColor,PT_GlovesColor,PT_BootsColor,PT_BeltColor,PT_OuterColor,PT_OuterAdd1Color,PT_OuterAdd2Color,Item1Node,Item1Color,Item1Scale,Item2Node,Item2Color,Item2Scale,Item3Node,Item3Color,Item3Scale,Item4Node,Item4Color,Item4Scale,Item5Node,Item5Color,Item5Scale,CheckBoundingBox,HitRotate
22016,0,0,0,39322,0,0,0,0,16384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BASE,BASE,BASE,,YES,NO,Dir_8,,Normal,YES,Yes,NO,Bip01,Bip01 Spine2,Bip01 Head,Bip01 Head,,,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,,0;0;0;0,1;1;1,,0;0;0;0,1;1;1,,0;0;0;0,1;1;1,,0;0;0;0,1;1;1,,0;0;0;0,1;1;1,NO,YES
27136,0,0,0,39322,0,0,0,0,16384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HWA,HWA,HWA,,YES,NO,Dir_8,,Normal,YES,Yes,NO,Bip01,Bip01 Spine2,Bip01 Head,Bip01 Head,,,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,,0;0;0;0,1;1;1,,0;0;0;0,1;1;1,,0;0;0;0,1;1;1,,0;0;0;0,1;1;1,,0;0;0;0,1;1;1,NO,YES
32256,0,0,0,39322,0,0,0,0,16384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHAR1,CHAR1,CHAR1,,YES,NO,Dir_8,,Normal,YES,Yes,NO,Bip01,Bip01 Spine2,Bip01 Head,Bip01 Head,,,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,,0;0;0;0,1;1;1,,0;0;0;0,1;1;1,,0;0;0;0,1;1;1,,0;0;0;0,1;1;1,,0;0;0;0,1;1;1,NO,YES
32768,0,0,0,39322,0,0,0,0,26624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,npc_los_emilia,npc_los_emilia,npc_los_emilia,,YES,NO,Dir_8,,Normal,YES,Yes,No,Bip01,Bip01 Spine2,Bip01 Head,Bip01 Head,,,0;0;0;1,0;0;0;1,0;0;0;1,0;0;0;0,0;0;0;0,0;0;0;1,0;0;0;1,0;0;0;1,0;0;0;1,0;0;0;1,0;0;0;1,0;0;0;1,0;0;0;1,0;0;0;1,,-1,1;1;1,,-1,1;1;1,,-1,1;1;1,,-1,1;1;1,,-1,1;1;1,NO,YES
33280,0,0,0,39322,0,0,0,0,29696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,npc_los_officer_m,npc_los_officer_m,npc_los_officer_m,,YES,NO,Dir_8,,Normal,YES,Yes,No,Bip01,Bip01 Spine2,Bip01 Head,Bip01 Head,,,0;0;0;1,0;0;0;1,0;0;0;1,0;0;0;0,0;0;0;0,0;0;0;1,0;0;0;1,0;0;0;1,0;0;0;1,0;0;0;1,0;0;0;1,0;0;0;1,0;0;0;1,0;0;0;1,,-1,1;1;1,,-1,1;1;1,,-1,1;1;1,,-1,1;1;1,,-1,1;1;1,NO,YES
34304,0,0,0,39322,0,0,0,0,27648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,npc_los_officer_f,npc_los_officer_f,npc_los_officer_f,,YES,NO,Dir_8,,Normal,YES,Yes,No,Bip01,Bip01 Spine2,Bip01 Head,Bip01 Head,,,0;0;0;1,0;0;0;1,0;0;0;1,0;0;0;0,0;0;0;0,0;0;0;1,0;0;0;1,0;0;0;1,0;0;0;1,0;0;0;1,0;0;0;1,0;0;0;1,0;0;0;1,0;0;0;1,,-1,1;1;1,,-1,1;1;1,,-1,1;1;1,,-1,1;1;1,,-1,1;1;1,NO,YES
38400,0,0,0,39322,0,0,0,0,28672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,npc_los_soldier_m,npc_los_soldier_m,npc_los_soldier_m,,YES,NO,Dir_8,,Normal,YES,Yes,No,Bip01,Bip01 Spine2,Bip01 Head,Bip01 Head,,,0;0;0;1,0;0;0;1,0;0;0;1,0;0;0;0,0;0;0;0,0;0;0;1,0;0;0;1,0;0;0;1,0;0;0;1,0;0;0;1,0;0;0;1,0;0;0;1,0;0;0;1,0;0;0;1,,-1,1;1;1,,-1,1;1;1,,-1,1;1;1,,-1,1;1;1,,-1,1;1;1,NO,YES
43520,0,0,0,39322,0,0,0,0,22528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,npc_los_soldier_m2,npc_los_soldier_m2,npc_los_soldier_m2,,YES,NO,Dir_8,,Normal,YES,Yes,No,Bip01,Bip01 Spine2,Bip01 Head,Bip01 Head,,,0;0;0;1,0;0;0;1,0;0;0;1,0;0;0;0,0;0;0;0,0;0;0;1,0;0;0;1,0;0;0;1,0;0;0;1,0;0;0;1,0;0;0;1,0;0;0;1,0;0;0;1,0;0;0;1,,-1,1;1;1,,-1,1;1;1,,-1,1;1;1,,-1,1;1;1,,-1,1;1;1,NO,YES
48640,0,0,0,39322,0,0,0,0,16384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,npc_los_soldier_f,npc_los_soldier_f,npc_los_soldier_f,,YES,NO,Dir_8,,Normal,YES,Yes,NO,Bip01,Bip01 Spine2,Bip01 Head,Bip01 Head,,,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,,0;0;0;0,1;1;1,,0;0;0;0,1;1;1,,0;0;0;0,1;1;1,,0;0;0;0,1;1;1,,0;0;0;0,1;1;1,NO,YES
49152,0,0,0,39322,0,0,0,0,26624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,npc_los_loudrup,npc_los_loudrup,npc_los_loudrup,,YES,NO,Dir_8,,Normal,YES,Yes,No,Bip01,Bip01 Spine2,Bip01 Head,Bip01 Head,,,0;0;0;1,0;0;0;1,0;0;0;1,0;0;0;0,0;0;0;0,0;0;0;1,0;0;0;1,0;0;0;1,0;0;0;1,0;0;0;1,0;0;0;1,0;0;0;1,0;0;0;1,0;0;0;1,,-1,1;1;1,,-1,1;1;1,,-1,1;1;1,,-1,1;1;1,,-1,1;1;1,NO,YES
49664,0,0,0,39322,0,0,0,0,29696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,npc_los_danske,npc_los_danske,npc_los_danske,,YES,NO,Dir_8,,Normal,YES,Yes,No,Bip01,Bip01 Spine2,Bip01 Head,Bip01 Head,,,0;0;0;1,0;0;0;1,0;0;0;1,0;0;0;0,0;0;0;0,0;0;0;1,0;0;0;1,0;0;0;1,0;0;0;1,0;0;0;1,0;0;0;1,0;0;0;1,0;0;0;1,0;0;0;1,,-1,1;1;1,,-1,1;1;1,,-1,1;1;1,,-1,1;1;1,,-1,1;1;1,NO,YES
50176,0,0,0,39322,0,0,0,0,27648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,npc_los_zenora,npc_los_zenora,npc_los_zenora,,YES,NO,Dir_8,,Normal,YES,Yes,No,Bip01,Bip01 Spine2,Bip01 Head,Bip01 Head,,,0;0;0;1,0;0;0;1,0;0;0;1,0;0;0;0,0;0;0;0,0;0;0;1,0;0;0;1,0;0;0;1,0;0;0;1,0;0;0;1,0;0;0;1,0;0;0;1,0;0;0;1,0;0;0;1,,-1,1;1;1,,-1,1;1;1,,-1,1;1;1,,-1,1;1;1,,-1,1;1;1,NO,YES
50688,0,0,0,39322,0,0,0,0,16384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,npc_los_akalabeth,npc_los_akalabeth,npc_los_akalabeth,,YES,NO,Dir_8,,Normal,YES,Yes,NO,Bip01,Bip01 Spine2,Bip01 Head,Bip01 Head,,,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,,0;0;0;0,1;1;1,,0;0;0;0,1;1;1,,0;0;0;0,1;1;1,,0;0;0;0,1;1;1,,0;0;0;0,1;1;1,NO,YES
