ClassID,BornAniCount,DeadHideTime,DeadHideBlendTime,SpriteScale,TopOffset,MidOffset,BtmOffset,LODDist,PT_Body,PT_Shirt,PT_Pants,PT_PantsAdd1,PT_PantsAdd2,PT_Face,PT_Hair,PT_Hat,PT_Gloves,PT_Boots,PT_Belt,PT_Outer,PT_OuterAdd1,PT_OuterAdd2,WlkAniSPD,RunAniSPD,MoveCompleteLoop,ClassName,RootName,FileName,EffectPostFix,UseSilhouette,Full3D_Model,DirType,MorphFile,Render,AutoJump,UseBone,Retarget,RootNode,ForceHitDummy,TopDummy,LookAtNode,HitEffectNode,DamageTextNode,PT_BodyColor,PT_ShirtColor,PT_PantsColor,PT_PantsAdd1Color,PT_PantsAdd2Color,PT_FaceColor,PT_HairColor,PT_HatColor,PT_GlovesColor,PT_BootsColor,PT_BeltColor,PT_OuterColor,PT_OuterAdd1Color,PT_OuterAdd2Color,ItemARMBANDNode,ItemHELMETNode,ItemRH,ItemRHNode,ItemLH,ItemLHNode,CheckBoundingBox,HitRotate
26880,0,0,0,39322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24832,0,0,58996,39191,0,PC_WAR_F,warrior_f,warrior_f,,YES,NO,Dir_8,,Normal,YES,Yes,No,Bip01,Bip01 Spine2,Bip01 Head,Bip01 Head,,,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,Bip01 Head,Dummy_Sword,,Dummy_R_HAND,,Dummy_L_HAND,NO,YES
27008,0,0,0,0,0,0,0,0,41984,0,0,0,0,53248,52224,0,0,0,0,54272,0,0,58996,39191,0,PC_WAR_M,warrior_m,warrior_m,,YES,NO,Dir_8,,Normal,YES,Yes,No,Bip01,Bip01 Spine2,Bip01 Head,Bip01 Head,,,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,Bip01 Head,Dummy_Sword,,Dummy_R_HAND,,Dummy_L_HAND,NO,YES
34560,0,0,0,39322,0,0,0,0,18432,0,0,0,0,57344,59392,0,0,0,0,50176,0,0,58996,39191,0,PC_WIZ_F,mage_f,Mage_f,,YES,NO,Dir_8,,Normal,YES,Yes,No,Bip01,Bip01 Spine2,Bip01 Head,Bip01 Head,,,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,Bip01 Head,Dummy_Sword,,Dummy_R_HAND,,Dummy_L_HAND,NO,YES
34688,0,0,0,39322,0,0,0,0,6656,0,0,0,0,6400,6912,0,0,0,0,7168,0,0,58996,39191,0,PC_WIZ_M,mage_m,Mage_m,,YES,NO,Dir_8,,Normal,YES,Yes,No,Bip01,Bip01 Spine2,Bip01 Head,Bip01 Head,,,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,Bip01 Head,Dummy_Sword,,Dummy_R_HAND,,Dummy_L_HAND,NO,YES
46080,0,0,0,39322,0,0,0,0,40960,0,0,0,0,41984,44032,0,0,0,0,47232,0,0,58996,39191,0,PC_ARC_F,archer_f,archer_f,,YES,NO,Dir_16,,Normal,YES,Yes,No,Bip01,Bip01 Spine2,Bip01 Head,Bip01 Head,,,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,Bip01 Head,Dummy_Sword,,Dummy_R_HAND,,Dummy_L_HAND,NO,YES
46208,0,0,0,39322,0,0,0,0,29696,0,0,0,0,29184,30208,0,0,0,0,30720,0,0,58996,39191,0,PC_ARC_M,archer_m,archer_m,,YES,NO,Dir_16,,Normal,YES,Yes,No,Bip01,Bip01 Spine2,Bip01 Head,Bip01 Head,,,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,Bip01 Head,Dummy_Sword,,Dummy_R_HAND,,Dummy_L_HAND,NO,YES
58880,0,0,0,39322,0,0,0,0,62464,0,0,0,0,61952,62976,0,0,0,0,63488,0,0,58996,39191,0,PC_CLR_F,cleric_f,cleric_f,,YES,NO,Dir_8,,Normal,YES,Yes,No,Bip01,Bip01 Spine2,Bip01 Head,Bip01 Head,,,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,Bip01 Head,Dummy_Sword,,Dummy_R_HAND,,Dummy_L_HAND,NO,YES
59008,0,0,0,39322,0,0,0,0,41984,0,0,0,0,41472,42496,0,0,0,0,43008,0,0,58996,39191,0,PC_CLR_M,cleric_m,cleric_m,,YES,NO,Dir_8,,Normal,YES,Yes,No,Bip01,Bip01 Spine2,Bip01 Head,Bip01 Head,,,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,Bip01 Head,Dummy_Sword,,Dummy_R_HAND,,Dummy_L_HAND,NO,YES
30720,0,0,0,39322,0,0,0,0,23552,52224,58368,0,0,25600,24576,0,7168,6144,0,0,2048,11264,0,0,0,bar_mus_M,bar_mus_M,bar_mus_M,,YES,NO,Dir_8,,Normal,YES,Yes,No,Bip01,Bip01 Spine2,Bip01 Head,Bip01 Head,,,0;0;0;1,0;0;0;1,0;0;0;1,0;0;0;0,0;0;0;0,0;0;0;1,0;0;0;1,0;0;0;1,0;0;0;1,0;0;0;1,0;0;0;1,0;0;0;1,0;0;0;1,0;0;0;1,Bip01 Head,Dummy_Sword,warrior_f_newsword,Dummy_R_HAND,,Dummy_L_HAND,NO,YES
32000,0,0,0,39322,0,0,0,0,23552,52224,40960,0,0,25600,0,0,7168,6144,0,31744,16384,0,0,0,0,bar_war_M,bar_war_M,bar_war_M,,YES,NO,Dir_8,,Normal,YES,Yes,No,Bip01,Bip01 Spine2,Bip01 Head,Bip01 Head,,,0;0;0;1,0;0;0;1,0;0;0;1,0;0;0;0,0;0;0;0,0;0;0;1,0;0;0;1,0;0;0;1,0;0;0;1,0;0;0;1,0;0;0;1,0;0;0;1,0;0;0;1,0;0;0;1,Bip01 Head,Dummy_Sword,warrior_f_newsword,Dummy_R_HAND,,Dummy_L_HAND,NO,YES
