ClassID,Level,STR_Rate,CON_Rate,INT_Rate,MNA_Rate,DEX_Rate,Blockable,HPCount,ATK_RANGE,EXP_Rate,JEXP_Rate,SuperDropRegenRatio,SuperDropRatio,Scale,WlkMSPD,RunMSPD,SurroundSize,KDArmor,Drop_Etc,Drop_Gold,Drop_Weapon1,Drop_Weapon2,Drop_Armor1,Drop_Armor2,Hardness_ATK,Hardness_DEF,BaseOffset,FIXMSPD_BM,SecPerAngle,GuardImpactTime,FixedAttack,FixedDefence,FixedLife,ATKValue,ATKRange,DEFValue,CustomResist,CustomLife,MultipleLife,MultipleATKR,MonSR,MonSDR,AriesDEF,SlashDEF,StrikeDEF,ResFire,ResIce,ResPoison,ResWind,ResHoly,ResDark,BLOCK,PARRY,CustomEXP,CustomJobEXP,MultipleEXP,MultipleJobEXP,HitRng,SearchRange,AniASPD,NumOfAttack,HitTime1,HitTime2,HitTime3,BornTime,DeadTime,DyingTime,MinR,MaxR,ForceVel,SplRange,SplLimit,SplDam,BuffFreq,Ratio,PreDelay,LifeTime,Range,AppTime,HitRadius,Mass,Hit,RHP,KP,Hits,KDownPower,KDownVAngle,Stat,ACC,CRASH,KDRank,TargetMark,TargetWindow,Hide,ShowBaseInfoUI,DialogRotate,DialogChaseDist,QuestCount1,QuestCount2,QuestCount3,QuestCount4,NumArg1,NumArg2,NumArg3,NumArg4,UseAiOutOfPC,MonDmgRate,ShieldRate,HitDelayFix,CantGenRange,ClassName,Boss_UseZone,Name,StatType,Journal,SET,SET_ANI,SkillType,DropItemList,SimpleAI,Attribute,RaceType,ArmorMaterial,MoveType,Size,UniqueName,JobName,RingCommand,Tactics,BTree,BornScript,HeadIcon,Icon,MinimapIcon,TooltipType,TargetIcon,ModelType,BoneScale,AttachEffectIndex,DeadEffect,AttackType,HitType,HitProof,HitValue,DialogCursor,Faction,GroupName,Feature1,Feature2,OnCheat,MonRank,Grade,BornAni,SpecialDefType,SpecialAtkType,ImmuneBuff_BM,ImmuneDebuff,JobType,Race1,Race2,Race3,LayerType,WpnType,SkinType,BlowSoundType,DefSoundType,BlkSoundType,AtkType,ClassType,SplType,Buff,DefType,BlkType,Rotate,OBB,Obstacle,OBBSize,Interactive,Hittable,DropItemIndex,KdDead,HoldProof,PrevTMName,TMName,NextTMName,PrevTSName,TSName,NextTSName,IdleScript,ActiveSpawn,Enter,Leave,Dialog,Occupation,ViewInvi,SizeFont,QuestName,OnlyPCCheck,StrArg1,StrArg2,NpcMark,TargetMsg,UseTitle,AlwaysTitle,Ridable,OBBCheck,WeaponMaterial,ResistType,WeakType,MergeTable1,MergeClass1,MergeTable2,MergeClass2,Icon_Wiki,Desc,HateMark
20512,0,0,0,0,0,0,0,0,0,0,0,0,0,36700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16384,0,0,0,0,32768,32768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Onion,,케파,1,Onion,Onion,Onion,Onion,Onion,,Poison,Forester,Cloth,Normal,S,,,,,BasicMonster,,,mon_onion,,CreateMon,,3D,,,,ATK,Melee,NO,YES,DIALOG,Monster,Monster,,,YES,Normal,Grade8,,,,,,Warrior,,,,Terrestrial,Sword,Metal,Sword,Flesh,Sword,Single,Melee,,,,,YES,NO,NO,0;0;0,YES,YES,,TRUE,NO,,,,,,,,,,,,,FALSE,{@st43},,YES,,,,,YES,NO,NO,YES,ThinIron,,,MonsterConst,MonsterCP,Actor,Actor,,그리 강한 몬스터는 아니지만 섣불리 공격했다간 눈에서 눈물을 쏟게 될겁니다. ,YES
20544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49152,0,0,0,0,0,0,0,0,0,0,0,32768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16384,0,0,0,0,32768,32768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Onion_Big,,대형 케파,13,Onion_Big,Onion_Big,Onion_Big,Onion_Big,Onion_Big,,Poison,Forester,Cloth,Normal,L,,,,,BasicMonster,,,mon_onion,,CreateMon,,3D,,,,ATK,Melee,NO,YES,DIALOG,Monster,Monster,,,YES,Normal,Grade8,,,,,,Warrior,,,,Terrestrial,Sword,Metal,Sword,Flesh,Sword,Single,Melee,,,,,YES,YES,NO,30;30;30,YES,YES,,TRUE,NO,,,,,,,,,,,,,FALSE,{@st43},,YES,,,,,YES,NO,NO,YES,ThinIron,,,MonsterConst,MonsterCP,Actor,Actor,,"가끔 엘리트케파를 먹어보려는 사람들이 있는데, 꼭 말리시길 바랍니다.",YES
20576,0,0,0,0,0,0,0,0,0,0,0,0,0,41943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16384,0,0,0,0,32768,32768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Onion_Red,,붉은 케파,1,Onion_Red,Onion_Red,Onion,Onion_red,Onion_Red,,Fire,Forester,Cloth,Normal,S,,,,,BasicMonster,,,mon_onion_red,,CreateMon,,3D,,,,ATK,Melee,NO,YES,DIALOG,Monster,Monster,,,YES,Normal,Grade8,,,,,,Warrior,,,,Terrestrial,Sword,Metal,Sword,Flesh,Sword,Single,Melee,,,,,YES,NO,NO,0;0;0,YES,YES,,TRUE,NO,,,,,,,,,,,,,FALSE,{@st43},,YES,,,,,YES,NO,NO,YES,ThinIron,,,MonsterConst,MonsterCP,Actor,Actor,,보통 인식과 달리 붉은 케파가 더 원형 케파에 가깝습니다.,YES
20640,0,0,0,0,0,0,0,0,0,0,0,0,0,36700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16384,0,0,0,0,32768,32768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Onion_green,,중독된 케파,1,Onion_green,Onion_green,Onion,Onion,Onion_green,,Poison,Forester,Cloth,Normal,S,,,,,BasicMonster,,,cepa_toxic,,CreateMon,,3D,,,,ATK,Melee,NO,YES,DIALOG,Monster,Monster,,,YES,Normal,Grade8,,,,,,Warrior,,,,Terrestrial,Sword,Metal,Sword,Flesh,Sword,Single,Melee,,,,,YES,NO,NO,0;0;0,YES,YES,,TRUE,NO,,,,,,,,,,,,,FALSE,{@st43},,YES,,,,,YES,NO,NO,YES,ThinIron,,,MonsterConst,MonsterCP,Actor,Actor,,몬스터,YES
21152,0,0,0,0,0,0,0,0,0,0,0,0,0,20972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16384,0,0,0,0,32768,32768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Haming,,하밍,1,Haming,Haming,Haming,Haming,Haming,,Lightning,Forester,Iron,Normal,S,,,,,BasicMonster,,,mon_Haming,,CreateMon,,3D,,,,ATK,Melee,NO,YES,DIALOG,Monster,Monster,,,YES,Normal,Grade8,,,,,,Warrior,,,,Terrestrial,Sword,Metal,Sword,Flesh,Sword,Single,Melee,,,,,YES,NO,NO,0;0;0,YES,YES,,TRUE,NO,,,,,,,,,,,,,FALSE,{@st43},,YES,,,,,YES,NO,NO,YES,ThinIron,,,MonsterConst,MonsterCP,Actor,Actor,,"하밍은 상대적으로 다루기 쉬운 몬스터이지만, 외피는 무척 단단합니다.",YES
21792,0,0,0,0,0,0,0,0,0,0,0,0,0,49807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16384,0,0,0,0,32768,32768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bokchoy,,치넨시,4,Bokchoy,Bokchoy,Bokchoy,Bokchoy,Bokchoy,,Earth,Forester,Cloth,Normal,M,,,,,BasicMonster,,,mon_bokchoy,,CreateMon,,3D,,,,ATK,Melee,NO,YES,DIALOG,Monster,Monster,,,YES,Normal,Grade8,,,,,,Warrior,,,,Terrestrial,Sword,Metal,Sword,Flesh,Sword,Single,Melee,,,,,YES,NO,NO,0;0;0,YES,YES,,TRUE,NO,,,,,,,,,,,,,FALSE,{@st43},,YES,,,,,YES,NO,NO,YES,ThinIron,,,MonsterConst,MonsterCP,Actor,Actor,,보기와 달리 식물의 줄기가 변형된 몬스터입니다.,YES
21824,0,0,0,0,0,0,0,0,0,0,0,0,0,13107,0,0,0,49152,0,0,0,0,0,0,0,0,0,0,0,32768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16384,0,0,0,0,32768,32768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bokchoy_Big,,변이 치넨시,8,Bokchoy_Big,Bokchoy_Big,Bokchoy_Big,Bokchoy_Big,Bokchoy_Big,,Melee,Forester,Cloth,Normal,L,,,,,BasicMonster,,,mon_bokchoy,,CreateMon,,3D,,,,ATK,Melee,NO,YES,DIALOG,Monster,Monster,,,YES,Normal,Grade8,,,,,,Warrior,,,,Terrestrial,Sword,Metal,Sword,Flesh,Sword,Single,Melee,,,,,YES,NO,NO,0;0;0,YES,YES,,TRUE,NO,,,,,,,,,,,,,FALSE,{@st43},,YES,,,,,YES,NO,NO,YES,ThinIron,,,MonsterConst,MonsterCP,Actor,Actor,,몬스터,YES
22432,0,0,0,0,0,0,0,0,0,0,0,0,0,52429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16384,0,0,0,0,32768,32768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jukopus,,유코푸스,7,Jukopus,Jukopus,Jukopus,Jukopus,Jukopus,,Earth,Forester,Cloth,Normal,S,,,,,BasicMonster,,,Jukopus,,CreateMon,,3D,,,,ATK,Melee,NO,YES,DIALOG,Monster,Monster,,,YES,Normal,Grade8,,,,,,Warrior,,,,Terrestrial,Sword,Metal,Sword,Flesh,Sword,Single,Melee,,,,,YES,NO,NO,0;0;0,YES,YES,,TRUE,NO,,,,,,,,,,,,,FALSE,{@st43},,YES,,,,,YES,NO,NO,YES,ThinIron,,,MonsterConst,MonsterCP,Actor,Actor,,유코푸스의 내부구조는 밝혀지지 않은 연구분야입니다.,YES
22464,0,0,0,0,0,0,0,0,0,0,0,0,0,52429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32768,0,0,0,0,0,0,0,0,0,39322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16384,0,0,0,0,32768,32768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jukopus_blue,,푸른 유코푸스,1,Jukopus_blue,Jukopus_blue,Jukopus,Jukopus,Jukopus_blue,,Ice,Forester,Cloth,Normal,S,,,,,BasicMonster,,,mon_jukopus_blue,,CreateMon,,3D,,,,ATK,Melee,NO,YES,DIALOG,Monster,Monster,,,YES,Normal,Grade8,,,,,,Warrior,,,,Terrestrial,Sword,Metal,Sword,Flesh,Sword,Single,Melee,,,,,YES,NO,NO,0;0;0,YES,YES,,TRUE,NO,,,,,,,,,,,,,FALSE,{@st43},,YES,,,,,YES,NO,NO,YES,ThinIron,,,MonsterConst,MonsterCP,Actor,Actor,,몬스터,YES
22496,0,0,0,0,0,0,0,0,0,0,0,0,0,52429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32768,0,0,0,0,0,0,0,0,0,39322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16384,0,0,0,0,32768,32768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jukopus_gray,,회색 유코푸스,7,Jukopus_gray,Jukopus_gray,Jukopus,Jukopus_gray,Jukopus_gray,,Ice,Widling,Cloth,Normal,S,,,,,BasicMonster,,,mon_jukopus_gray,,CreateMon,,3D,,,,ATK,Melee,NO,YES,DIALOG,Monster,Monster,,,YES,Normal,Grade8,,,,,,Warrior,,,,Terrestrial,Sword,Metal,Sword,Flesh,Sword,Single,Melee,,,,,YES,NO,NO,0;0;0,YES,YES,,TRUE,NO,,,,,,,,,,,,,FALSE,{@st43},,YES,,,,,YES,NO,NO,YES,ThinIron,,,MonsterConst,MonsterCP,Actor,Actor,,성숙도에 따라 다양한 기술로 공격해오는 몬스터입니다.,YES
