ClassID,Level,STR_Rate,CON_Rate,INT_Rate,MNA_Rate,DEX_Rate,Blockable,HPCount,ATK_RANGE,EXP_Rate,JEXP_Rate,SuperDropRegenRatio,SuperDropRatio,Scale,WlkMSPD,RunMSPD,SurroundSize,KDArmor,Drop_Etc,Drop_Gold,Drop_Weapon1,Drop_Weapon2,Drop_Armor1,Drop_Armor2,Hardness_ATK,Hardness_DEF,BaseOffset,FIXMSPD_BM,SecPerAngle,GuardImpactTime,FixedAttack,FixedDefence,FixedLife,ATKValue,ATKRange,DEFValue,CustomResist,CustomLife,MultipleLife,MultipleATKR,MonSR,MonSDR,AriesDEF,SlashDEF,StrikeDEF,ResFire,ResIce,ResPoison,ResWind,ResHoly,ResDark,BLOCK,PARRY,CustomEXP,CustomJobEXP,MultipleEXP,MultipleJobEXP,HitRng,SearchRange,AniASPD,NumOfAttack,HitTime1,HitTime2,HitTime3,BornTime,DeadTime,DyingTime,MinR,MaxR,ForceVel,SplRange,SplLimit,SplDam,BuffFreq,Ratio,PreDelay,LifeTime,Range,AppTime,HitRadius,Mass,Hit,RHP,KP,Hits,KDownPower,KDownVAngle,Stat,ACC,CRASH,KDRank,TargetMark,TargetWindow,Hide,ShowBaseInfoUI,DialogRotate,DialogChaseDist,QuestCount1,QuestCount2,QuestCount3,QuestCount4,NumArg1,NumArg2,NumArg3,NumArg4,UseAiOutOfPC,MonDmgRate,ShieldRate,HitDelayFix,CantGenRange,ClassName,Boss_UseZone,Name,StatType,Journal,SET,SET_ANI,SkillType,DropItemList,SimpleAI,Attribute,RaceType,ArmorMaterial,MoveType,Size,UniqueName,JobName,RingCommand,Tactics,BTree,BornScript,HeadIcon,Icon,MinimapIcon,TooltipType,TargetIcon,ModelType,BoneScale,AttachEffectIndex,DeadEffect,AttackType,HitType,HitProof,HitValue,DialogCursor,Faction,GroupName,Feature1,Feature2,OnCheat,MonRank,Grade,BornAni,SpecialDefType,SpecialAtkType,ImmuneBuff_BM,ImmuneDebuff,JobType,Race1,Race2,Race3,LayerType,WpnType,SkinType,BlowSoundType,DefSoundType,BlkSoundType,AtkType,ClassType,SplType,Buff,DefType,BlkType,Rotate,OBB,Obstacle,OBBSize,Interactive,Hittable,DropItemIndex,KdDead,HoldProof,PrevTMName,TMName,NextTMName,PrevTSName,TSName,NextTSName,IdleScript,ActiveSpawn,Enter,Leave,Dialog,Occupation,ViewInvi,SizeFont,QuestName,OnlyPCCheck,StrArg1,StrArg2,NpcMark,TargetMsg,UseTitle,AlwaysTitle,Ridable,OBBCheck,WeaponMaterial,ResistType,WeakType,MergeTable1,MergeClass1,MergeTable2,MergeClass2,Icon_Wiki,Desc,HateMark
23680,0,0,0,0,0,0,0,0,0,0,0,0,0,4719,0,0,0,49152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gtower_trap,,대지의 탑 히든 트리거 몬스터,,,invisible,invisible,,,,Melee,,,Normal,S,,,,,,,,icon_item_nothing,,CreateMon,,2D,,,,ATK,,NO,NO,DIALOG,Monster,Monster,,,YES,Normal,Grade8,,,,,All,Warrior,,,,Terrestrial,Sword,Metal,Sword,Flesh,Sword,Single,Melee,,,,,NO,NO,NO,0;0;0,YES,YES,,TRUE,NO,,,,,,,,,,,,,FALSE,{@st43},,YES,,,,,YES,NO,NO,YES,ThinIron,,,MonsterConst,MonsterCP,Actor,Actor,,대지의 탑 히든트리거,YES
51328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49152,0,0,0,0,0,0,0,0,0,0,0,32768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16384,0,0,0,0,32768,32768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gtower_StoneWhale,,대지의 탑 석화고래,18,boss_stone_whale,monster_stone_whale,stone_whale,gtower_StoneWhale,,,Earth,Paramune,Iron,Flying,XL,,,,,BasicBoss,,,mon_onion,,CreateMon,,3D,,,,ATK,Melee,NO,YES,DIALOG,Monster,Monster,,,YES,Boss,Grade8,,,,,,Warrior,,,,Terrestrial,Sword,Metal,Sword,Flesh,Sword,Single,Melee,,,,,YES,YES,NO,47;47;120,YES,YES,,TRUE,NO,,,,,,,,,,,,,FALSE,{@st43},,YES,,,,,YES,NO,NO,YES,ThinIron,,,MonsterConst,MonsterCP,Actor,Actor,,대지의 탑 보스,YES
51456,0,0,0,0,0,0,0,0,0,0,0,0,0,13107,0,0,0,49152,0,0,0,0,0,0,0,0,0,0,0,32768,0,0,0,0,0,0,0,0,0,39322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16384,0,0,0,0,32768,32768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gtower_Chapparition,,대지의 탑 채퍼리션,18,boss_Chapparition,Chapparition,Chapparition,gtower_Chapparition,,,Dark,Velnias,Ghost,Flying,XL,,,,,BasicBoss,,,boss_Chapparition,,CreateMon,,3D,,,,ATK,Melee,NO,YES,DIALOG,Monster,Monster,,,YES,Boss,Grade8,,,,,,Warrior,,,,Terrestrial,Sword,Metal,Sword,Flesh,Sword,Single,Melee,,,,,YES,YES,NO,20;25;120;3;0,YES,YES,,TRUE,NO,,,,,,,,,,,,,FALSE,{@st43},,YES,,,,,YES,NO,NO,YES,ThinIron,,,MonsterConst,MonsterCP,Actor,Actor,,대지의 탑 보스,YES
51584,0,0,0,0,0,0,0,0,0,0,0,0,0,26214,0,0,0,49152,0,0,0,0,0,0,0,0,0,0,0,32768,0,0,0,0,0,0,0,0,0,39322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16384,0,0,0,0,32768,32768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gtower_TombLord,,대지의 탑 툼로드,18,boss_TombLord,monster_TombLord,monster_TombLord,gtower_TombLord,,,Dark,Velnias,Iron,Flying,XL,,,,,BasicBoss,,,boss_TombLord,,CreateMon,,3D,,,,ATK,Melee,NO,YES,DIALOG,Monster,Monster,,,YES,Boss,Grade8,,,,,,Warrior,,,,Terrestrial,Sword,Metal,Sword,Flesh,Sword,Single,Melee,,,,,YES,YES,NO,20;15;150;3;171,YES,YES,,TRUE,NO,,,,,,,,,,,,,FALSE,{@st43},,YES,,,,,YES,NO,NO,YES,ThinIron,,,MonsterConst,MonsterCP,Actor,Actor,,대지의 탑 보스,YES
51712,0,0,0,0,0,0,0,0,0,0,0,0,0,39322,0,0,0,49152,0,0,0,0,0,0,0,0,0,0,0,32768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16384,0,0,0,0,32768,32768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gtower_Mineloader,,대지의 탑 마인로더,19,F_boss_mineloader,boss_mineloader,boss_mineloader,gtower_mineloader,,,Lightning,Paramune,Iron,Normal,XL,,,,,BasicBoss,,,icon_item_nothing,,CreateMon,,3D,,,,ATK,Melee,NO,YES,DIALOG,Monster,Monster,,,YES,Boss,Grade8,,,,,,Warrior,,,,Terrestrial,Sword,Metal,Sword,Flesh,Sword,Single,Melee,,,,,YES,YES,NO,35;33;120,YES,YES,,TRUE,NO,,,,,,,,,,,,,FALSE,{@st43},,YES,,,,,YES,NO,NO,YES,ThinIron,,,MonsterConst,MonsterCP,Actor,Actor,,대지의 탑 보스,YES
51840,0,0,0,0,0,0,0,0,0,0,0,0,0,13107,0,0,0,49152,0,0,0,0,0,0,0,0,0,0,0,32768,0,0,0,0,0,0,0,0,0,39322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16384,0,0,0,0,32768,32768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gtower_Kerberos,,대지의 탑 켈베로스,19,boss_Kerberos,monster_Kerberos,Kerberos,gtower_Kerberos,,,Fire,Velnias,Leather,Normal,XL,,,,,BasicBoss,,,boss_Kerberos,,CreateMon,,3D,,,,ATK,Melee,NO,YES,DIALOG,Monster,Monster,,,YES,Boss,Grade8,,,,,,Warrior,,,,Terrestrial,Sword,Metal,Sword,Flesh,Sword,Single,Melee,,,,,YES,YES,NO,33;58;120;0;0,YES,YES,,TRUE,NO,,,,,,,,,,,,,FALSE,{@st43},,YES,,,,,YES,NO,NO,YES,ThinIron,,,MonsterConst,MonsterCP,Actor,Actor,,대지의 탑 보스,YES
11024,0,0,0,0,0,0,0,0,0,0,0,0,0,39322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16384,0,0,0,0,32768,32768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gtower_GoblinMiners,,대지의 탑 부베 광부,4,Goblin_Miners,Goblin_miner,Goblin_miner,Goblin_Miners,,g_tower_basic_mon,Earth,Widling,Leather,Normal,M,,,,,,,,mon_goblin_miner,,CreateMon,,3D,,,,ATK,Melee,NO,YES,DIALOG,Monster,Monster,,,YES,Normal,Grade8,,,,,,Warrior,,,,Terrestrial,Sword,Metal,Sword,Flesh,Sword,Single,Melee,,,,,YES,NO,NO,0;0;0,YES,YES,,TRUE,NO,,,,,,,,,,,,,FALSE,{@st43},,YES,,,,,YES,NO,NO,YES,ThinIron,,,MonsterConst,MonsterCP,Actor,Actor,,대지의 탑 몬스터,YES
11040,0,0,0,0,0,0,0,0,0,0,0,0,0,39322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16384,0,0,0,0,32768,32768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gtower_Bat,,대지의 탑 박쥐,2,Bat,monster_mirtislampa,mirtislampa,mirtislampa,,g_tower_basic_mon,Dark,Velnias,Leather,Flying,S,,,,,,,,mon_Vesper,,CreateMon,,3D,,,,ATK,Melee,NO,YES,DIALOG,Monster,Monster,,,YES,Normal,Grade8,,,,,,Warrior,,,,Terrestrial,Sword,Metal,Sword,Flesh,Sword,Single,Melee,,,,,YES,NO,NO,0;0;0,YES,YES,,TRUE,NO,,,,,,,,,,,,,FALSE,{@st43},,YES,,,,,YES,NO,NO,YES,ThinIron,,,MonsterConst,MonsterCP,Actor,Actor,,대지의 탑 몬스터,YES
11056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16384,0,0,0,0,32768,32768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gtower_Shredded,,대지의 탑 쉬레디드,16,Shredded,monster_Shredded,Shredded,Shredded,,g_tower_basic_mon,Dark,Velnias,Cloth,Flying,M,,,,,,,,mon_Shredded,,CreateMon,,3D,,,,ATK,Melee,NO,YES,DIALOG,Monster,Monster,,,YES,Normal,Grade8,,,,,,Warrior,,,,Terrestrial,Sword,Metal,Sword,Flesh,Sword,Single,Melee,,,,,YES,NO,NO,0;0;0,YES,YES,,TRUE,NO,,,,,,,,,,,,,FALSE,{@st43},,YES,,,,,YES,NO,NO,YES,ThinIron,,,MonsterConst,MonsterCP,Actor,Actor,,대지의 탑 몬스터,YES
11072,0,0,0,0,0,0,0,0,0,0,0,0,0,39322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16384,0,0,0,0,32768,32768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gtower_StonOrca,,대지의 탑 스톤오르카,8,StonOrca,monster_StonOrca,StonOrca,StonOrca,,g_tower_basic_mon,Earth,Paramune,Iron,Flying,M,,,,,,,,mon_StonOrca,,CreateMon,,3D,,,,ATK,Melee,NO,YES,DIALOG,Monster,Monster,,,YES,Normal,Grade8,,,,,,Warrior,,,,Terrestrial,Sword,Metal,Sword,Flesh,Sword,Single,Melee,,,,,YES,NO,NO,0;0;0,YES,YES,,TRUE,NO,,,,,,,,,,,,,FALSE,{@st43},,YES,,,,,YES,NO,NO,YES,ThinIron,,,MonsterConst,MonsterCP,Actor,Actor,,대지의 탑 몬스터,YES
