ClassID,NormalDialog1_Level,NormalDialog2_Level,NormalDialog3_Level,NormalDialog4_Level,NormalDialog5_Level,NormalDialog6_Level,NormalDialog7_Level,NormalDialog8_Level,NormalDialog9_Level,NormalDialog10_Level,SD_LvUp1,SD_LvUp2,SD_LvUp3,SD_LvUp4,SD_LvUp5,ID_LvUp1,ID_LvUp2,ID_LvUp3,ID_LvUp4,ID_LvUp5,ClassName,CMM_Name,SelectDialog,IdleDialog,QuestName1,QuestName2,QuestName3,QuestName4,QuestName5,QuestName6,QuestName7,QuestName8,QuestName9,QuestName10,QuestName11,QuestName12,QuestName13,QuestName14,QuestName15,QuestName16,QuestName17,QuestName18,QuestName19,QuestName20,QuestName21,QuestName22,QuestName23,QuestName24,QuestName25,QuestName26,QuestName27,QuestName28,QuestName29,QuestName30,QuestName31,QuestName32,QuestName33,QuestName34,QuestName35,QuestName36,QuestName37,QuestName38,QuestName39,QuestName40,QuestName41,QuestName42,QuestName43,QuestName44,QuestName45,QuestName46,QuestName47,QuestName48,QuestName49,QuestName50,NormalDialog1,NormalBeforeDialog1,NormalDialog1_Condition,NormalDialog1_PrecheckScript,NormalDialog1_Quest,NormalDialog1_QuestState,NormalDialog2,NormalBeforeDialog2,NormalDialog2_Condition,NormalDialog2_PrecheckScript,NormalDialog2_Quest,NormalDialog2_QuestState,NormalDialog3,NormalBeforeDialog3,NormalDialog3_Condition,NormalDialog3_PrecheckScript,NormalDialog3_Quest,NormalDialog3_QuestState,NormalDialog4,NormalBeforeDialog4,NormalDialog4_Condition,NormalDialog4_PrecheckScript,NormalDialog4_Quest,NormalDialog4_QuestState,NormalDialog5,NormalBeforeDialog5,NormalDialog5_Condition,NormalDialog5_PrecheckScript,NormalDialog5_Quest,NormalDialog5_QuestState,NormalDialog6,NormalBeforeDialog6,NormalDialog6_Condition,NormalDialog6_PrecheckScript,NormalDialog6_Quest,NormalDialog6_QuestState,NormalDialog7,NormalBeforeDialog7,NormalDialog7_Condition,NormalDialog7_PrecheckScript,NormalDialog7_Quest,NormalDialog7_QuestState,NormalDialog8,NormalBeforeDialog8,NormalDialog8_Condition,NormalDialog8_PrecheckScript,NormalDialog8_Quest,NormalDialog8_QuestState,NormalDialog9,NormalBeforeDialog9,NormalDialog9_Condition,NormalDialog9_PrecheckScript,NormalDialog9_Quest,NormalDialog9_QuestState,NormalDialog10,NormalBeforeDialog10,NormalDialog10_Condition,NormalDialog10_PrecheckScript,NormalDialog10_Quest,NormalDialog10_QuestState,SD_QuestDialog1,SD_QuestName1,SD_QuestState1,SD_DialogCount1,SD_PrecheckScript1,SD_QuestDialog2,SD_QuestName2,SD_QuestState2,SD_DialogCount2,SD_PrecheckScript2,SD_QuestDialog3,SD_QuestName3,SD_QuestState3,SD_DialogCount3,SD_PrecheckScript3,SD_QuestDialog4,SD_QuestName4,SD_QuestState4,SD_DialogCount4,SD_PrecheckScript4,SD_QuestDialog5,SD_QuestName5,SD_QuestState5,SD_DialogCount5,SD_PrecheckScript5,ID_QuestDialog1,ID_QuestName1,ID_QuestState1,ID_DialogCount1,ID_PrecheckScript1,ID_QuestDialog2,ID_QuestName2,ID_QuestState2,ID_DialogCount2,ID_PrecheckScript2,ID_QuestDialog3,ID_QuestName3,ID_QuestState3,ID_DialogCount3,ID_PrecheckScript3,ID_QuestDialog4,ID_QuestName4,ID_QuestState4,ID_DialogCount4,ID_PrecheckScript4,ID_QuestDialog5,ID_QuestName5,ID_QuestState5,ID_DialogCount5,ID_PrecheckScript5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AND,,,,,,AND,,,,,,AND,,,,,,AND,,,,,,AND,,,,,,AND,,,,,,AND,,,,,,AND,,,,,,AND,,,,,,AND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ALFONSO,악세서리 상인 알폰소,Alfonso_Select_1,Alfonso_Select_1,EAST_PREPARE,EAST_PREPARE_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,악세서리 상점,Alfonso_Select_1,AND,,,,,,AND,,,,,,AND,,,,,,AND,,,,,,AND,,,,,,AND,,,,,,AND,,,,,,AND,,,,,,AND,,,,,,AND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AKALABETH,장비상인 아칼라베스,Akalabeth_Select_1,KLAPEDA_Akalabeth_basic1/KLAPEDA_Akalabeth_basic2/KLAPEDA_Akalabeth_basic3/KLAPEDA_Akalabeth_basic4/KLAPEDA_Akalabeth_basic5/KLAPEDA_Akalabeth_basic6/KLAPEDA_Akalabeth_basic7/KLAPEDA_Akalabeth_basic8/KLAPEDA_Akalabeth_basic9/KLAPEDA_Akalabeth_basic10/KLAPEDA_Akalabeth_basic11/KLAPEDA_Akalabeth_basic12/KLAPEDA_Akalabeth_basic13/KLAPEDA_Akalabeth_basic14/KLAPEDA_Akalabeth_basic15/KLAPEDA_Akalabeth_basic16/KLAPEDA_Akalabeth_basic17/KLAPEDA_Akalabeth_basic18/KLAPEDA_Akalabeth_basic19/KLAPEDA_Akalabeth_basic20/KLAPEDA_Akalabeth_basic21/KLAPEDA_Akalabeth_basic22/KLAPEDA_Akalabeth_basic23/KLAPEDA_Akalabeth_basic24/KLAPEDA_Akalabeth_basic25/KLAPEDA_Akalabeth_basic26/KLAPEDA_Akalabeth_basic27/KLAPEDA_Akalabeth_basic28,JOB_SAPPER2_2,EAST_PREPARE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,무기류,,AND,,,,방어구류,,AND,,,,,,AND,,,,,,AND,,,,,,AND,,,,,,AND,,,,,,AND,,,,,,AND,,,,,,AND,,,,,,AND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EMILIA,도구상인 에밀리아,Emilia_Select_1,KLAPEDA_Emilia_basic1/KLAPEDA_Emilia_basic2/KLAPEDA_Emilia_basic3/KLAPEDA_Emilia_basic4/KLAPEDA_Emilia_basic5/KLAPEDA_Emilia_basic6/KLAPEDA_Emilia_basic7/KLAPEDA_Emilia_basic8/KLAPEDA_Emilia_basic9/KLAPEDA_Emilia_basic10/KLAPEDA_Emilia_basic11/KLAPEDA_Emilia_basic12/KLAPEDA_Emilia_basic13/KLAPEDA_Emilia_basic14/KLAPEDA_Emilia_basic15/KLAPEDA_Emilia_basic16/KLAPEDA_Emilia_basic17/KLAPEDA_Emilia_basic18/KLAPEDA_Emilia_basic19/KLAPEDA_Emilia_basic20/KLAPEDA_Emilia_basic21/KLAPEDA_Emilia_basic22/KLAPEDA_Emilia_basic23/KLAPEDA_Emilia_basic24/KLAPEDA_Emilia_basic25/KLAPEDA_Emilia_basic26/KLAPEDA_Emilia_basic27,JOB_SAPPER2_2,JOB_DIEVDIRBYS3_1,JOB_DIEVDIRBYS3_2,JOB_DIEVDIRBYS3_3,EAST_PREPARE_1,EAST_PREPARE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,잡화류,Emilia_Select_1,AND,,,,,,AND,,,,,,AND,,,,,,AND,,,,,,AND,,,,,,AND,,,,,,AND,,,,,,AND,,,,,,AND,,,,,,AND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BLACKSMITH,대장장이 빅토르,KLAPEDA_Smith_basic1,KLAPEDA_Smith_basic1,ROKAS29_VACYS8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,제작서,KLAPEDA_Smith_basic1,AND,,,,수리,,AND,,,,소켓 관리,,AND,,,,,,AND,,,,,,AND,,,,,,AND,,,,,,AND,,,,,,AND,,,,,,AND,,,,,,AND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SIAUL_WEST_CAMP_MANAGER,SIAUL_WEST_CAMP_MANAGER,SIAUL_WEST_CAMP_MANAGER_basic1,SIAUL_WEST_CAMP_MANAGER_basic1,SIAUL_WEST_WEST_FOREST,SIAUL_WEST_KNIGHT,SIAUL_WEST_HQ_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,튜토리얼 생략,,AND,,,,,,AND,,,,,,AND,,,,,,AND,,,,,,AND,,,,,,AND,,,,,,AND,,,,,,AND,,,,,,AND,,,,,,AND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SIAUL_WEST_CAMP_MANAGER_BASIC01,SIAUL_WEST_KNIGHT,COMPLETE,,,,,,,,,,,,,,,,,,,,,,
49152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SIALUL_WEST_DRASIUS,SIALUL_WEST_DRASIUS,SIALUL_WEST_DRASIUS_basic1,SIALUL_WEST_DRASIUS_basic1,SIAUL_WEST_DRASIUS1,SIAUL_WEST_DRASIUS2,SIAUL_WEST_STATUS_TUTO_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AND,,,,,,AND,,,,,,AND,,,,,,AND,,,,,,AND,,,,,,AND,,,,,,AND,,,,,,AND,,,,,,AND,,,,,,AND,,,,SIALUL_WEST_DRASIUS_basic1,SIAUL_WEST_DRASIUS2,COMPLETE,,,,,,,,,,,,,,,,,,,,,,,SIALUL_WEST_DRASIUS_basic1,SIAUL_WEST_DRASIUS2,COMPLETE,,,SIALUL_WEST_DRASIUS_BASIC01/SIALUL_WEST_DRASIUS_BASIC02,SIAUL_WEST_KNIGHT,COMPLETE,,,,,,,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SIAUL_WEST_MEET_TITAS_AUTO,SIAUL_WEST_MEET_TITAS_AUTO,,,SIAUL_WEST_MEET_TITAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AND,,,,,,AND,,,,,,AND,,,,,,AND,,,,,,AND,,,,,,AND,,,,,,AND,,,,,,AND,,,,,,AND,,,,,,AND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SIAUL_WEST_NAGLIS2,SIAUL_WEST_NAGLIS2,SIAUL_WEST_NAGLIS2_basic1,SIAUL_WEST_NAGLIS2_basic1,SIAUL_WEST_MEET_NAGLIS,TUTO_SKILL_RUN,SIAUL_WEST_ONION_BIG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AND,,,,,,AND,,,,,,AND,,,,,,AND,,,,,,AND,,,,,,AND,,,,,,AND,,,,,,AND,,,,,,AND,,,,,,AND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SIAUL_WEST_NAGLIS2_BASIC01,SIAUL_WEST_KNIGHT,COMPLETE,,,,,,,,,,,,,,,,,,,,,,
49152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SIAUL_WEST_URGENT1_TRACK,SIAUL_WEST_URGENT1_TRACK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AND,,,,,,AND,,,,,,AND,,,,,,AND,,,,,,AND,,,,,,AND,,,,,,AND,,,,,,AND,,,,,,AND,,,,,,AND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
