ClassID,Repeat_Count,Level,Lvup,Lvdown,JobStep,Atkup,Atkdown,Defup,Defdown,Mhpup,Mhpdown,Check_Tribe,Check_Job,Gender,Check_QuestCount,QuestCount1,QuestCount2,QuestCount3,QuestCount4,Check_Buff,Check_EqItem,Check_Skill,Check_InvItem,InvItemCount1,InvItemCount2,InvItemCount3,InvItemCount4,Check_Script,Succ_Lv,Succ_Atkup,Succ_Defup,Succ_Mhpup,Succ_Check_Buff,Succ_Check_EqItem,Succ_Check_Skill,Succ_Check_InvItem,Succ_InvItemCount1,Succ_InvItemCount2,Succ_InvItemCount3,Succ_InvItemCount4,Succ_Check_QuestCount,Succ_QuestCount1,Succ_QuestCount2,Succ_QuestCount3,Succ_QuestCount4,Succ_QuestCount5,Succ_QuestCount6,Succ_QuestCount7,Succ_QuestCount8,Succ_QuestCount9,Succ_QuestCount10,Succ_Check_MonKill,Succ_MonKillCount1,Succ_MonKill_ItemPercent1,Succ_MonKillCount2,Succ_MonKill_ItemPercent2,Succ_MonKillCount3,Succ_MonKill_ItemPercent3,Succ_MonKillCount4,Succ_MonKill_ItemPercent4,Succ_MonKillCount5,Succ_MonKill_ItemPercent5,Succ_MonKillCount6,Succ_MonKill_ItemPercent6,Succ_Check_OverKill,Succ_OverKillRate1,Succ_OverKillCount1,Succ_OverKill_ItemPercent1,Succ_OverKillRate2,Succ_OverKillCount2,Succ_OverKill_ItemPercent2,Succ_OverKillRate3,Succ_OverKillCount3,Succ_OverKill_ItemPercent3,Succ_OverKillRate4,Succ_OverKillCount4,Succ_OverKill_ItemPercent4,Succ_OverKillRate5,Succ_OverKillCount5,Succ_OverKill_ItemPercent5,Succ_OverKillRate6,Succ_OverKillCount6,Succ_OverKill_ItemPercent6,Succ_Check_Script,ClassName,Name,QuestGroup,QuestMode,AbandonUI,PossibleUI_Notify,POSSI_WARP,PROG_WARP,SUCC_WARP,QuestStartMode,QuestEndMode,QuestPropertyName,Quest_SSN,ReenterTime,StartDesc,StartStory,StartLocation,StartMapListUI,StartMap,StartNPC,QuestInfosetView,ProgDesc,ProgStory,ProgLocation,ProgMapListUI,ProgMap,ProgNPC,QuestItem,EndDesc,EndStory,EndLocation,EndMapListUI,EndMap,EndNPC,Check_Condition,JobStepTerms,JobLvup,JobLvdown,Check_Location,Location1,Location2,Location3,Location4,Location5,Location6,Tribe1,Tribe2,Tribe3,Tribe4,Job1,Job2,Job3,Job4,Quest_Condition,QuestName1,QuestTerms1,QuestName2,QuestTerms2,QuestName3,QuestTerms3,QuestName4,QuestTerms4,Buff_Condition,BuffName1,BuffName2,BuffName3,BuffName4,EqItem_Condition,EqItemName1,EqItemName2,EqItemName3,EqItemName4,SkillLv,Skill_Condition,Skill1,Skill2,Skill3,Skill4,Skill5,Skill6,InvItem_Condition,InvItemName1,InvItemName2,InvItemName3,InvItemName4,Check_PeriodType,Period_Main,Period_Sub1,Period_Sub2,Period_Sub3,Period_Sub4,Period_Sub5,Period_Sub6,Period_Sub7,Period_Sub8,Period_Sub9,Period_Sub10,AOSLine,NPCQuestCount,HonorPointUp,HonorPointDown,Script_Condition,Script1,Script2,Script3,Script4,Script5,Succ_Check_Condition,Succ_HonorPoint,Succ_MapFogSearch,Succ_Buff_Condition,Succ_BuffName1,Succ_BuffName2,Succ_BuffName3,Succ_BuffName4,Succ_EqItem_Condition,Succ_EqItemName1,Succ_EqItemName2,Succ_EqItemName3,Succ_EqItemName4,Succ_Skill_Condition,Succ_SkillVan1,Succ_SkillVan2,Succ_SkillVan3,Succ_SkillVan4,Succ_SkillVan5,Succ_SkillVan6,Succ_QuestNeedItemAutoTake,Succ_InvItem_Condition,Succ_InvItemName1,Succ_InvItemtext1,Succ_InvItemName2,Succ_InvItemtext2,Succ_InvItemName3,Succ_InvItemtext3,Succ_InvItemName4,Succ_InvItemtext4,Succ_Quest_Condition,Succ_QuestName1,Succ_QuestTerms1,Succ_QuestName2,Succ_QuestTerms2,Succ_QuestName3,Succ_QuestTerms3,Succ_QuestName4,Succ_QuestTerms4,Succ_QuestName5,Succ_QuestTerms5,Succ_QuestName6,Succ_QuestTerms6,Succ_QuestName7,Succ_QuestTerms7,Succ_QuestName8,Succ_QuestTerms8,Succ_QuestName9,Succ_QuestTerms9,Succ_QuestName10,Succ_QuestTerms10,Succ_Kill_Layer,Succ_MonKill_Condition,Succ_MonKillName1,Succ_MonKillNameKOR1,Succ_MonTactics1,Succ_MonKill_ItemGive1,Succ_MonKill_ItemGiveCount1,Succ_MonKillName2,Succ_MonKillNameKOR2,Succ_MonTactics2,Succ_MonKill_ItemGive2,Succ_MonKill_ItemGiveCount2,Succ_MonKillName3,Succ_MonKillNameKOR3,Succ_MonTactics3,Succ_MonKill_ItemGive3,Succ_MonKill_ItemGiveCount3,Succ_MonKillName4,Succ_MonKillNameKOR4,Succ_MonTactics4,Succ_MonKill_ItemGive4,Succ_MonKill_ItemGiveCount4,Succ_MonKillName5,Succ_MonKillNameKOR5,Succ_MonTactics5,Succ_MonKill_ItemGive5,Succ_MonKill_ItemGiveCount5,Succ_MonKillName6,Succ_MonKillNameKOR6,Succ_MonTactics6,Succ_MonKill_ItemGive6,Succ_MonKill_ItemGiveCount6,Succ_OverKill_Condition,Succ_OverKillName1,Succ_OverKillNameKOR1,Succ_OverKillTactics1,Succ_OverKill_ItemGive1,Succ_OverKill_ItemGiveCount1,Succ_OverKillName2,Succ_OverKillNameKOR2,Succ_OverKillTactics2,Succ_OverKill_ItemGive2,Succ_OverKill_ItemGiveCount2,Succ_OverKillName3,Succ_OverKillNameKOR3,Succ_OverKillTactics3,Succ_OverKill_ItemGive3,Succ_OverKill_ItemGiveCount3,Succ_OverKillName4,Succ_OverKillNameKOR4,Succ_OverKillTactics4,Succ_OverKill_ItemGive4,Succ_OverKill_ItemGiveCount4,Succ_OverKillName5,Succ_OverKillNameKOR5,Succ_OverKillTactics5,Succ_OverKill_ItemGive5,Succ_OverKill_ItemGiveCount5,Succ_OverKillName6,Succ_OverKillNameKOR6,Succ_OverKillTactics6,Succ_OverKill_ItemGive6,Succ_OverKill_ItemGiveCount6,Succ_Script_Condition,Succ_Script1,Succ_Script2,Succ_Script3,Succ_Script4,Succ_Script5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,기본형,,MAIN,YES,YES,NO,NO,YES,NPCDIALOG,NPCDIALOG,,,,,,,,,,NO,,,,,,,,,,,,,,AND,EQUAL,,,NO,,,,,,,,,,,,,,,AND,,>=,,>=,,>=,,>=,AND,,,,,AND,,,,,,AND,,,,,,,AND,,,,,,,,,,,,,,,,,,,,,AND,,,,,,,,,AND,,,,,AND,,,,,AND,,,,,,,YES,AND,,%s,,%s,,%s,,%s,AND,,>=,,>=,,>=,,>=,,>=,,>=,,>=,,>=,,>=,,>=,,AND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AND,,,,,
16384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SIAUL_WEST_MEET_TITAS,[튜토리얼]기사 티타스에게(1),SIAUL_1_G1/기사 티타스에게/1,MAIN,YES,YES,NO,NO,NO,NPCDIALOG,SYSTEM,SIAUL_WEST_MEET_TITAS,,,경계병과 대화,클라페다로 가기 위해 경계병에게 길을 물어 봅시다.,f_siauliai_west -643 260 -948 25,,f_siauliai_west,SIAUL_WEST_MEET_TITAS_AUTO,NO,경계병과 대화,클라페다로 가기 위해 경계병에게 길을 물어 봅시다.,f_siauliai_west 660 260 -960 50,,f_siauliai_west,,,서쪽 숲 캠프에서 기사 티타스와 대화,클라페다로 가는 길이 막혀있는 이유를 기사 티타스에게 물어봅시다.,,,f_siauliai_west,,AND,EQUAL,,,NO,,,,,,,,,,,,,,,AND,,>=,,>=,,>=,,>=,AND,,,,,AND,,,,,,AND,,,,,,,AND,,,,,,,,,,,,,,,,,,,,,AND,,,,,,,,,AND,,,,,AND,,,,,AND,,,,,,,NO,AND,,%s,,%s,,%s,,%s,AND,,>=,,>=,,>=,,>=,,>=,,>=,,>=,,>=,,>=,,>=,,AND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AND,,,,,
32768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SIAUL_WEST_WEST_FOREST,[튜토리얼]기사 티타스에게(2),SIAUL_1_G1/기사 티타스에게/2,MAIN,YES,YES,NO,NO,NO,NPCDIALOG,NPCDIALOG,SIAUL_WEST_WEST_FOREST,,,기사 티타스에게 클라페다로 가는 길 묻기,기사 티타스에게 현재 상황에 대해 물어보세요.,,,f_siauliai_west,SIAUL_WEST_CAMP_MANAGER,NO,숲의 병사들 모으기,클라페다로 가기 위해 병사를 모아야 합니다.,,,,,,숲의 병사들 모으기,클라페다로 가기 위해 병사를 모아야 합니다.,,,f_siauliai_west,SIAUL_WEST_CAMP_MANAGER,AND,EQUAL,,,NO,,,,,,,,,,,,,,,AND,SIAUL_WEST_MEET_TITAS,>=,,>=,,>=,,>=,AND,,,,,AND,,,,,,AND,,,,,,,AND,,,,,,,,,,,,,,,,,,,,,AND,,,,,,,,,AND,,,,,AND,,,,,AND,,,,,,,NO,AND,,%s,,%s,,%s,,%s,AND,,>=,,>=,,>=,,>=,,>=,,>=,,>=,,>=,,>=,,>=,,AND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AND,,,,,
49152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SIAUL_WEST_DRASIUS1,정찰병에게(1),SIAUL_1_G2/정찰병에게/1,MAIN,YES,YES,NO,NO,YES,NPCDIALOG,NPCDIALOG,SIAUL_WEST_DRASIUS1,SSN_SIAUL_WEST_DRASIUS1,,표시된 곳에서 정찰병과 대화,클라페다로 가기 전에 병사들에게 집합 명령을 전해 달라고 부탁받았습니다. 정찰병에게 집합 명령을 알려 주세요.,f_siauliai_west SIALUL_WEST_DRASIUS 100,,f_siauliai_west,SIALUL_WEST_DRASIUS,NO,몰려드는 케파 무리 처치,갑자기 케파가 습격했습니다! 모두 물리치세요.,,,f_siauliai_west,SIALUL_WEST_DRASIUS,,정찰병의 상태를 확인,케파에게 공격당한 정찰병의 상태를 확인하세요.,,,f_siauliai_west,SIALUL_WEST_DRASIUS,AND,EQUAL,,,NO,,,,,,,,,,,,,,,AND,SIAUL_WEST_WEST_FOREST,>=,,>=,,>=,,>=,AND,,,,,AND,,,,,,AND,,,,,,,AND,,,,,,,,,,,,,,,,,,,,,AND,,,,,,,,,AND,,,,,AND,,,,,AND,,,,,,,NO,AND,,%s,,%s,,%s,,%s,AND,,>=,,>=,,>=,,>=,,>=,,>=,,>=,,>=,,>=,,>=,Layer,AND,Onion,몰려드는 케파 무리 처치,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AND,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SIAUL_WEST_DRASIUS2,정찰병에게(2),SIAUL_1_G2/정찰병에게/2,MAIN,YES,YES,NO,NO,YES,NPCDIALOG,NPCDIALOG,SIAUL_WEST_DRASIUS2,SSN_SIAUL_WEST_DRASIUS2,,정찰병에게 클라페다로 가기 위한 복귀 명령이 있음을 다시 알림,정찰병에게 클라페다로 가기 위한 복귀 명령이 있음을 다시 되새겨 줍시다.,,,f_siauliai_west,SIALUL_WEST_DRASIUS,NO,잎방개를 처치해 짐 꾸러미 수집,정찰병은 자신의 짐을 찾기 전 까지 절대로 돌아갈 수 없다고 합니다. 정찰병을 위해 잎방개가 훔쳐간 정찰병의 짐 꾸러미를 찾아오세요.,f_siauliai_west -1649 260 -763 300,,f_siauliai_west,SIALUL_WEST_DRASIUS,,정찰병에게 짐 꾸러미 전달,정찰병에게 돌아가 짐 꾸러미를 돌려주고 빨리 클라페다로 가야 하니 본대로 복귀하라고 다시 말해 봅시다.,,,f_siauliai_west,SIALUL_WEST_DRASIUS,AND,EQUAL,,,NO,,,,,,,,,,,,,,,AND,SIAUL_WEST_STATUS_TUTO_1,>=,,>=,,>=,,>=,AND,,,,,AND,,,,,,AND,,,,,,,AND,,,,,,,,,,,,,,,,,,,,,AND,,,,,,,,,AND,,,,,AND,,,,,AND,,,,,,,NO,AND,SIAUL_WEST_DRASIUS2_Bag,잎방개를 처치해 %s 획득,,%s,,%s,,%s,AND,,>=,,>=,,>=,,>=,,>=,,>=,,>=,,>=,,>=,,>=,,AND,Leaf_diving,,,Succ_InvItemName1,Succ_InvItemCount1,,,,,,,,,,,,,,,,,,,,,,,,,,AND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AND,,,,,
16384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SIAUL_WEST_KNIGHT,기사 티타스에게(3),SIAUL_1_G1/기사 티타스에게/3,MAIN,YES,YES,NO,NO,YES,NPCDIALOG,NPCDIALOG,SIAUL_WEST_KNIGHT,,,전투 조장과 대화,전투 조장과 대화해 보세요.,,,f_siauliai_west,SIAUL_WEST_SOL3,NO,전투 조장의 설득,전투 조장은 나머지 전달은 자신의 부하에게 시키겠다고 합니다. 이 상황을 티타스에게 보고하러 가세요.,,,f_siauliai_west,SIAUL_WEST_CAMP_MANAGER,,기사 티타스에게 보고,이제는 클라페다로 갈 준비를 하세요.,,,f_siauliai_west,SIAUL_WEST_CAMP_MANAGER,AND,EQUAL,,,NO,,,,,,,,,,,,,,,AND,SIAUL_WEST_HAMING_LEAF,>=,,>=,,>=,,>=,AND,,,,,AND,,,,,,AND,,,,,,,AND,,,,,,,,,,,,,,,,,,,,,AND,,,,,,,,,AND,,,,,AND,,,,,AND,,,,,,,NO,AND,,%s,,%s,,%s,,%s,AND,,>=,,>=,,>=,,>=,,>=,,>=,,>=,,>=,,>=,,>=,,AND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AND,,,,,
32768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SIAUL_WEST_MEET_NAGLIS,수색병에게,,MAIN,YES,YES,NO,NO,NO,NPCDIALOG,NPCDIALOG,SIAUL_WEST_MEET_NAGLIS,SSN_SIAUL_WEST_MEET_NAGLIS,,표시된 곳에서 수색병 찾기,클라페다로 가기 전에 병사들에게 집합 명령을 전해 달라고 부탁받았습니다. 수색병에게 집합 명령을 알려 주세요.,f_siauliai_west SIAUL_WEST_NAGLIS2 100,,f_siauliai_west,SIAUL_WEST_NAGLIS2,NO,수색병에게 교대시간 알려주기,복귀 명령을 알려줬지만 대형 케파가 갑자기 나타났습니다. 해치웁시다.,f_siauliai_west -1490 260 -140 100,,f_siauliai_west,SIAUL_WEST_NAGLIS2,,수색병과 대화,수색병과 대화하여 집합 명령을 전해 주고 다음 병사 위치를 알아 냅시다.,,,f_siauliai_west,SIAUL_WEST_NAGLIS2,AND,EQUAL,,,NO,,,,,,,,,,,,,,,AND,SIAUL_WEST_DRASIUS2,>=,,>=,,>=,,>=,AND,,,,,AND,,,,,,AND,,,,,,,AND,,,,,,,,,,,,,,,,,,,,,AND,,,,,,,,,AND,,,,,AND,,,,,AND,,,,,,,NO,AND,,%s,,%s,,%s,,%s,AND,,>=,,>=,,>=,,>=,,>=,,>=,,>=,,>=,,>=,,>=,Layer,AND,Onion_Big,달려드는 대형 케파 처치,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AND,,,,,
49152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SIAUL_WEST_LAIMONAS1,라이모나스의 부탁,,MAIN,YES,YES,NO,NO,YES,NPCDIALOG,NPCDIALOG,SIAUL_WEST_LAIMONAS1,SSN_SIAUL_WEST_LAIMONAS1,,라이모나스와 대화,티타스의 말 대로 라이모나스의 부탁을 들어 봅시다.,f_siauliai_west SIAUL_WEST_LAIMONAS 15,,f_siauliai_west,SIAUL_WEST_LAIMONAS,NO,여신상에 경배,라이모나스는 몬스터들이 워낙 극성이라 한동안 여신상에 경배하지 못했다고 합니다. 겸사겸사 여신상으로 가서 경배를 드려 보세요.,f_siauliai_west 1751 285 349 150,,,,,라이모나스와 대화,라이모나스의 말 대로 여신상에 경배를 드렸습니다. 라이모나스에게 돌아가 이야기를 해 주세요.,,,f_siauliai_west,SIAUL_WEST_LAIMONAS,AND,EQUAL,,,NO,,,,,,,,,,,,,,,AND,SIAUL_WEST_KNIGHT,>=,,>=,,>=,,>=,AND,,,,,AND,,,,,,AND,,,,,,,AND,,,,,,,,,,,,,,,,,,,,,AND,,,,,,,,,AND,,,,,AND,,,,,AND,,,,,,,NO,AND,,%s,,%s,,%s,,%s,AND,,>=,,>=,,>=,,>=,,>=,,>=,,>=,,>=,,>=,,>=,,AND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AND,,,,,
32768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SIAUL_WEST_LAIMONAS4,클라페다로 가는 길(1),TO_KLAPEDA_1/클라페다로 가는 길/1,SUB,YES,YES,NO,NO,NO,NPCDIALOG,NPCDIALOG,SIAUL_WEST_LAIMONAS4,SSN_SIAUL_WEST_LAIMONAS4,,라이모나스와 대화,라이모나스의 부탁을 들어 보세요.,,,f_siauliai_west,SIAUL_WEST_LAIMONAS,NO,표시된 지역 근처의 인프로락터 처치,클라페다로 가는 길의 인프로락터를 정리해 달라는 라이모나스의 부탁을 들어 주세요.,f_siauliai_west 576 210 -945 250 f_siauliai_west 1149 209 -882 300,,f_siauliai_west,SIAUL_WEST_LAIMONAS,,클라페다 경비병 대장과 대화,라이모나스의 부탁을 잘 들어 준 것 같습니다. 클라페다로 향하는 길의 몬스터를 정리했다고 대장 경비병에게 말 해 주세요.,f_siauliai_west SIAUL_ST1_ST2 15,,f_siauliai_west,SIAUL_ST1_ST2,AND,EQUAL,,,NO,,,,,,,,,,,,,,,AND,,>=,,>=,,>=,,>=,AND,,,,,AND,,,,,,AND,,,,,,,AND,,,,,,,,,,,,,,,,,,,,,AND,,,,,,,,,AND,,,,,AND,,,,,AND,,,,,,,NO,AND,,%s,,%s,,%s,,%s,AND,,>=,,>=,,>=,,>=,,>=,,>=,,>=,,>=,,>=,,>=,,AND,InfroRocktor,인프로락터 처치,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AND,,,,,
49152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SIAUL_WEST_WOOD_SPIRIT,클라페다로 가는 길(2),TO_KLAPEDA_1/클라페다로 가는 길/2,SUB,YES,YES,NO,NO,YES,NPCDIALOG,SYSTEM,SIAUL_WEST_WOOD_SPIRIT,SSN_SIAUL_WEST_WOOD_SPIRIT,,클라페다로 이동,클라페다로 가는 길목으로 이동해 봅시다.,,,f_siauliai_west,SIAUL_ST1_ST2,NO,갑자기 나타난 락토르투가 처치,클라페다로 들어가기 전에 갑자기 나타난 락토르투가를 처치하세요.,f_siauliai_west SIAUL_WEST_ROCK 200,,f_siauliai_west,SIAUL_WEST_ROCK,,클라페다 경비병 대장과 대화,클라페다 경비병 대장에게 락토르투가를 처치한 일을 보고하세요.,,,f_siauliai_west,SIAUL_ST1_ST2,AND,EQUAL,,,NO,,,,,,,,,,,,,,,AND,SIAUL_WEST_LAIMONAS4,>=,,>=,,>=,,>=,AND,,,,,AND,,,,,,AND,,,,,,,AND,,,,,,,,,,,,,,,,,,,,,AND,,,,,,,,,AND,,,,,AND,,,,,AND,,,,,,,NO,AND,,%s,,%s,,%s,,%s,AND,,>=,,>=,,>=,,>=,,>=,,>=,,>=,,>=,,>=,,>=,Layer,AND,boss_Rocktortuga,갑자기 나타난 락토르투가 처치,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AND,,,,,
