ClassID,SklLevel,Price,SellPrice,Arg1,Arg2,RecipeTime,SuccessRatio,LevelByFail,TargetItemCnt,Item_1_1_Cnt,Item_1_1_Level,Item_2_1_Cnt,Item_2_1_Level,Item_3_1_Cnt,Item_3_1_Level,Item_4_1_Cnt,Item_4_1_Level,Item_5_1_Cnt,Item_5_1_Level,ClassName,SklName,IDSpc,UseQueue,Category,Icon,RecipeType,Type,FromItem,Monster,MonsterTactics,Dialog,EnableScp,Playanim,TargetItem,Item_1_1,Item_2_1,Item_3_1,Item_4_1,Item_5_1
8192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_Roasting_01,Alchemist_Roasting,Skill,NO,Recipe,icon_item_recipe_misc1,Drag,Action,Drag,Drag,,,,MAKING2,misc_quicksilver,misc_0118,,,,
16384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_Roasting_02,Alchemist_Roasting,Skill,NO,Recipe,icon_item_recipe_misc1,Drag,Action,Drag,Drag,,,,MAKING2,misc_ore09,misc_ore04,misc_ore08,,,
20480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_Briquetting_01,Alchemist_Briquetting,Skill,NO,Recipe,icon_item_recipe_misc1,Drag,Action,Drag,Drag,,,,MAKING2,Briquetting_01,misc_0022,misc_0019,,,
24576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_Briquetting_02,Alchemist_Briquetting,Skill,NO,Recipe,icon_item_recipe_misc1,Drag,Action,Drag,Drag,,,,MAKING2,Briquetting_02,misc_0113,misc_0040,,,
28672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_Briquetting_03,Alchemist_Briquetting,Skill,NO,Recipe,icon_item_recipe_misc1,Drag,Action,Drag,Drag,,,,MAKING2,Briquetting_03,misc_arburn_pokubu,misc_Rudas_loxodon,,,
36864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_Tincturing_01,Alchemist_Tincturing,Skill,NO,Recipe,icon_item_recipe_misc1,Drag,Action,Drag,Drag,,,,MAKING2,Tincturing_01,food_001,misc_0004,,,
40960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_Tincturing_02,Alchemist_Tincturing,Skill,NO,Recipe,icon_item_recipe_misc1,Drag,Action,Drag,Drag,,,,MAKING2,Tincturing_02,food_003,misc_Bushspider_purple,,,
45056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_Tincturing_03,Alchemist_Tincturing,Skill,NO,Recipe,icon_item_recipe_misc1,Drag,Action,Drag,Drag,,,,MAKING2,Tincturing_03,food_002,,,,
49152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_Tincturing_04,Alchemist_Tincturing,Skill,NO,Recipe,icon_item_recipe_misc1,Drag,Action,Drag,Drag,,,,MAKING2,Tincturing_04,Tincturing_02,food_014,,,
53248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_Tincturing_05,Alchemist_Tincturing,Skill,NO,Recipe,icon_item_recipe_misc1,Drag,Action,Drag,Drag,,,,MAKING2,Tincturing_05,food_005,,,,
53248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_arrow_01,Fletching,Ability,YES,Recipe,icon_item_recipe_misc1,Drag,Action,Drag,Drag,,,,MAKING2,arrow_01,timber_01,,,,
57344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_arrow_02,Fletching,Ability,YES,Recipe,icon_item_recipe_misc1,Drag,Action,Drag,Drag,,,,MAKING2,arrow_02,timber_02,,,,
61440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_arrow_03,Fletching,Ability,YES,Recipe,icon_item_recipe_misc1,Drag,Action,Drag,Drag,,,,MAKING2,arrow_03,timber_03,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_arrow_04,Fletching,Ability,YES,Recipe,icon_item_recipe_misc1,Drag,Action,Drag,Drag,,,,MAKING2,arrow_04,timber_04,,,,
