ClassID,Circle_1,Circle_2,Circle_3,Circle_4,Circle_5,Circle_6,Circle_7,Circle_8
0,15844,53971,10637,24576,34328,41207,46154,49673
0,15844,15420,48723,4096,18725,29043,36463,33809
0,31688,30840,31910,8192,37449,58085,7389,17946
0,60495,3855,59360,28672,53053,4714,17081,2082
0,10803,38551,56272,43008,14043,39839,58389,51755
0,63375,53971,39459,47104,32768,3345,29316,35891
0,10803,57826,4461,53248,21845,45921,63234,20028
0,41050,46261,15097,12288,56174,21592,43852,4164
0,56894,25058,18872,31744,21065,59758,22047,53837
0,58334,59753,15784,46080,47592,29347,63356,37973
0,45371,19275,5833,55296,4681,61430,36705,22110
0,18004,34696,54556,59392,23406,24937,7632,6246
0,41770,40478,30881,58368,38229,50939,20836,55919
0,58334,18312,32940,58880,57344,36950,3876,40055
0,23046,11565,47007,20480,28087,14141,51242,24192
0,46091,0,57644,45056,62415,55348,31859,8328
0,61935,49152,64850,1536,29257,29499,11266,58001
0,5041,27949,3088,20992,59685,2129,54997,42137
0,6482,1928,3431,37888,22626,38774,31981,26274
0,720,36623,343,52224,49152,8363,7753,10410
0,53293,964,59360,64000,8192,41967,47850,60083
0,33128,26022,49409,7680,30818,8515,21199,44219
0,5761,46261,36028,14336,51493,39078,58873,28356
0,36729,61681,19215,18432,4681,2585,29800,12492
0,60495,6746,64507,19968,21455,30107,65051,62165
0,11523,12529,40831,18944,36279,56109,33555,46302
0,20885,13493,13725,15360,24576,40295,33192,30438
0,23046,9638,24362,4608,62805,19007,16233,14575
0,18004,482,40145,33024,34523,62495,64203,64247
0,5761,59272,54213,60160,5266,39687,46033,48384
0,25926,50116,1029,20480,40570,16118,27256,32520
0,45371,38551,11666,45056,9362,57325,7874,16657
0,61215,24576,20587,2816,42715,32236,53422,793
0,7922,8192,27793,24832,9557,6386,32829,50466
0,16564,54935,33283,45568,40960,45313,11629,34602
0,21605,33732,37057,65024,5851,17943,55360,18739
0,23046,10120,39116,17664,35304,55348,32950,2875
0,20885,49634,39459,34560,63781,26458,9933,52548
0,15124,21203,38086,50176,25746,62343,51847,36684
0,5761,55898,34998,64512,52273,31932,27620,20821
0,58334,22648,30195,12032,12288,760,2786,4957
0,41770,52525,23675,23808,36864,34365,42883,54630
0,21605,14456,15440,34304,60465,1673,16838,38766
0,63375,39514,5490,43520,17554,33756,55724,22903
0,36009,62163,59360,51456,39205,65080,28468,7039
0,5041,16866,45978,58112,59880,30107,606,56712
0,36009,34696,30881,63488,14043,59910,37674,40848
0,63375,50116,14068,2048,32768,23417,8601,24985
0,21605,63127,61075,4864,50517,51699,44458,9122
0,41770,8192,40831,6400,1755,13685,14173,58794
0,58334,16384,18872,6656,17554,40447,48819,42931
0,5761,22167,60732,5632,32378,912,17323,27067
0,15124,25540,35341,3328,46226,26154,50757,11204
0,20885,26504,8235,65280,59099,50635,9025,60876
0,23046,25058,44949,60416,5461,37178,25136,45013
0,21605,21203,14411,54272,8192,48658,40945,29149
0,16564,14938,47694,46848,13166,59758,56451,13286
0,7922,6264,13725,19072,17652,4942,6118,62958
0,61215,60717,43576,14080,21650,15282,21018,47095
0,45371,47224,6176,8448,25161,25241,35615,31231
0,25926,31322,32596,2176,28184,34821,49909,15368
0,2881,13011,28651,60800,30720,44020,63901,65040
0,41770,57826,7377,53248,32768,52839,12053,49177
0,11523,34696,50782,45056,34328,61278,25439,33313
0,43211,9156,27793,36224,35401,3801,38522,17450
0,5761,46743,3946,26752,35986,11480,51302,1586
0,30247,16384,44777,16640,36084,18779,63779,51259
0,51132,49152,19215,5888,35694,25697,10418,35395
0,2881,6987,58330,60032,34816,32236,22290,19532
0,16564,20962,31052,48000,33451,38394,33858,3668
0,26647,33732,2917,35328,31598,44172,45124,53341
0,33128,45297,39459,22016,29257,49570,56087,37477
0,36009,55657,9607,8064,26429,54588,1211,21614
0,35289,64813,44434,59008,23113,59226,11569,5751
0,30968,7228,12867,43776,19310,63483,21623,55423
0,23046,13975,45978,27904,15019,1825,31375,39560
0,11523,19516,12695,11392,10240,5322,40824,23696
0,61935,23853,44091,59776,4974,8439,49970,7833
0,43211,26985,9093,41984,64756,11176,58813,57505
0,20885,28913,38773,23552,58514,13533,1817,41642
0,60495,29636,2059,4480,51785,15510,10055,25778
0,30968,29154,30023,50304,44568,17106,17989,9915
0,63375,27467,57130,29952,36864,18323,25621,59587
0,26647,24576,17842,8960,28672,19159,32950,43724
0,51853,20480,43233,52864,19992,19615,39976,27860
0,7922,15179,2230,30592,10825,19691,46699,11997
0,25926,8674,25906,7680,1170,19387,53119,61669
0,40330,964,48723,49664,56564,18703,59237,45806
0,51132,57585,5147,25472,45934,17638,65051,29942
0,58334,47465,26249,640,34816,16194,5027,14079
0,61935,36141,46493,40704,23211,14369,10236,63751
0,61935,23612,343,14592,11118,12164,15142,47888
0,61935,9879,18872,53376,64073,9580,19746,32024
0,61935,60476,36542,25984,51005,6614,24046,16161
0,61935,44333,53355,63488,37449,3269,28044,297
0,61935,26985,3774,34816,23406,65080,31738,49970
0,61935,8433,18872,5504,8875,60974,35130,34106
0,61935,54212,33111,41088,59392,56489,38219,18243
0,61935,33250,46493,10496,43886,51623,41005,2380
