ClassID,UnlockGrade,LevelPerGrade,MaxLevel,ClassName,Type,SkillName
54272,0,0,0,Char1_1_1,Skill,Swordman_Thrust
55296,0,0,0,Char1_1_2,Skill,Swordman_Bash
56320,0,0,0,Char1_1_3,Skill,Swordman_GungHo
57344,0,0,0,Char1_1_4,Skill,Swordman_Concentrate
58368,0,0,0,Char1_1_5,Skill,Swordman_Restrain
25600,0,0,0,Char1_2_1,Skill,Highlander_WagonWheel
26624,0,0,0,Char1_2_2,Skill,Highlander_CartarStroke
27648,0,0,0,Char1_2_3,Skill,Highlander_Crown
28672,0,0,0,Char1_2_4,Skill,Highlander_CrossGuard
29696,0,0,0,Char1_2_5,Skill,Highlander_Moulinet
62464,0,0,0,Char1_3_1,Skill,Peltasta_UmboBlow
63488,0,0,0,Char1_3_2,Skill,Peltasta_RimBlow
64512,0,0,0,Char1_3_3,Skill,Peltasta_SwashBuckling
0,0,0,0,Char1_3_4,Skill,Peltasta_Guardian
1024,0,0,0,Char1_3_5,Skill,Peltasta_ShieldLob
33792,0,0,0,Char1_4_1,Skill,Hoplite_Stabbing
34816,0,0,0,Char1_4_2,Skill,Hoplite_Pierce
35840,0,0,0,Char1_4_3,Skill,Hoplite_Finestra
36864,0,0,0,Char1_4_4,Skill,Hoplite_SynchroThrusting
37888,0,0,0,Char1_4_5,Skill,Hoplite_LongStride
5120,0,0,0,Char1_5_1,Skill,Centurion_Conscript
6144,0,0,0,Char1_5_2,Skill,Centurion_PhalanxFormation
7168,0,0,0,Char1_5_3,Skill,Centurion_TercioFormation
8192,0,0,0,Char1_5_4,Skill,Centurion_WingedFormation
9216,0,0,0,Char1_5_5,Skill,Centurion_WedgeFormation
10240,0,0,0,Char1_5_6,Skill,Centurion_SchiltronFormation
41984,0,0,0,Char1_6_1,Skill,Barbarian_Embowel
43008,0,0,0,Char1_6_2,Skill,Barbarian_Frenzy
44032,0,0,0,Char1_6_3,Skill,Barbarian_Aggressor
45056,0,0,0,Char1_6_4,Skill,Barbarian_Savagery
46080,0,0,0,Char1_6_5,Skill,Barbarian_Warcry
47104,0,0,0,Char1_6_6,Skill,Barbarian_StompingKick
13312,0,0,0,Char1_7_1,Skill,Cataphract_Impaler
14336,0,0,0,Char1_7_2,Skill,Cataphract_EarthWave
15360,0,0,0,Char1_7_3,Skill,Cataphract_Trot
16384,0,0,0,Char1_7_4,Skill,Cataphract_SteedCharge
17408,0,0,0,Char1_7_5,Skill,Cataphract_DoomSpike
18432,0,0,0,Char1_7_6,Skill,Cataphract_Rush
50176,0,0,0,Char1_8_1,Skill,Corsair_JollyRoger
51200,0,0,0,Char1_8_2,Skill,Corsair_IronHook
52224,0,0,0,Char1_8_4,Skill,Corsair_Keelhauling
53248,0,0,0,Char1_8_5,Skill,Corsair_UnlockChest
54272,0,0,0,Char1_8_3,Skill,Corsair_SubweaponCancel
21504,0,0,0,Char1_9_1,Skill,Doppelsoeldner_Punish
