ClassID,TotalXp,SkillPts,ClassName
17408,0,0,Job_1_1
18432,0,0,Job_1_2
19456,32768,0,Job_1_3
20480,8192,0,Job_1_4
21504,16384,0,Job_1_5
22528,49152,0,Job_1_6
23552,57344,0,Job_1_7
24576,10240,0,Job_1_8
25600,51200,0,Job_1_9
26624,59392,0,Job_1_10
27648,22528,0,Job_1_11
28672,7168,0,Job_1_12
29696,22528,0,Job_1_13
30720,2048,0,Job_1_14
31744,2048,0,Job_1_15
54272,57344,0,Job_2_1
55296,32768,0,Job_2_2
56320,53248,0,Job_2_3
57344,512,0,Job_2_4
58368,62976,0,Job_2_5
59392,27520,0,Job_2_6
60416,41472,0,Job_2_7
61440,15232,0,Job_2_8
62464,18048,0,Job_2_9
63488,27904,0,Job_2_10
64512,38784,0,Job_2_11
0,44608,0,Job_2_12
1024,26320,0,Job_2_13
2048,32176,0,Job_2_14
3072,32176,0,Job_2_15
25600,16896,0,Job_3_1
26624,16512,0,Job_3_2
27648,24576,0,Job_3_3
28672,6560,0,Job_3_4
29696,37584,0,Job_3_5
30720,39072,0,Job_3_6
31744,34592,0,Job_3_7
32768,29692,0,Job_3_8
33792,3944,0,Job_3_9
34816,9840,0,Job_3_10
35840,29006,0,Job_3_11
36864,10820,0,Job_3_12
37888,53980,0,Job_3_13
38912,28478,0,Job_3_14
39936,28478,0,Job_3_15
62464,4864,0,Job_4_1
63488,768,0,Job_4_2
64512,48752,0,Job_4_3
0,50448,0,Job_4_4
1024,21400,0,Job_4_5
2048,17080,0,Job_4_6
3072,38332,0,Job_4_7
4096,1440,0,Job_4_8
5120,36940,0,Job_4_9
6144,65506,0,Job_4_10
7168,17439,0,Job_4_11
8192,8014,0,Job_4_12
9216,43915,0,Job_4_13
10240,30471,0,Job_4_14
11264,30471,0,Job_4_15
33792,55424,0,Job_5_1
34816,33408,0,Job_5_2
35840,22120,0,Job_5_3
36864,61220,0,Job_5_4
37888,38152,0,Job_5_5
38912,45192,0,Job_5_6
39936,47824,0,Job_5_7
40960,46941,0,Job_5_8
41984,9338,0,Job_5_9
43008,24509,0,Job_5_10
44032,53440,0,Job_5_11
45056,4097,0,Job_5_12
46080,2012,0,Job_5_13
47104,26858,0,Job_5_14
48128,26858,0,Job_5_15
5120,38527,0,Job_6_1
6144,38527,0,Job_6_2
7168,38527,0,Job_6_3
8192,38527,0,Job_6_4
9216,38527,0,Job_6_5
10240,38527,0,Job_6_6
11264,38527,0,Job_6_7
12288,38527,0,Job_6_8
13312,38527,0,Job_6_9
14336,38527,0,Job_6_10
15360,38527,0,Job_6_11
16384,38527,0,Job_6_12
17408,38527,0,Job_6_13
18432,38527,0,Job_6_14
19456,38527,0,Job_6_15
